Content Area,Standard Identifier,Grade Range,Min Grade,Max Grade,Discipline,Subdiscipline,Artistic Process,Anchor Standard,Description
Arts,PK.MA:Pr4,TK,0,0,Media Arts,,Producing (Media Arts only),"4. Select, analyze, and interpret artistic work for presentation","Enduring Understanding: Media artists integrate various forms and contents to develop complex, unified artworks.
Essential Question(s): How are complex media arts experiences constructed?
Process Component(s): Integrate

Performance Standard(s):
With guidance, combine different forms and content, such as image and sound, to form media artworks."
Arts,PK.MA:Pr5,TK,0,0,Media Arts,,Producing (Media Arts only),5: Develop and refine artistic techniques and work for presentation,"Enduring Understanding: Media artists require a range of skills and abilities to creatively solve problems within and through media arts productions.
Essential Question(s): What skills are required for creating effective media artworks and how are they improved? How are creativity and innovation developed within and through media arts productions? How do media artists use various tools and techniques?
Process Component(s): Practice

Performance Standard(s):
a. Use identified skills, such as manipulating tools, making choices, and sharing, in creating media artworks.
b. Use identified creative skills, such as imagining, freely and in guided practice, within media arts productions."
Arts,PK.MA:Pr6,TK,0,0,Media Arts,,Producing (Media Arts only),6: Convey meaning through the presentation of artistic work,"Enduring Understanding: Media artists purposefully present, share, and distribute media artworks for various contexts.
Essential Question(s): How does time, place, audience, and context affect presenting or performing choices for media artworks?
Process Component(s): Present

Performance Standard(s):
With guidance, discuss the situation and participate in presenting media artworks to an audience."
Arts,PK.MA:Re7,TK,0,0,Media Arts,,Responding,7: Perceive and analyze artistic work,"Enduring Understanding: Identifying the qualities and characteristics of media artworks improves one's artistic appreciation and production.
Essential Question(s): How do we 'read' media artworks and discern their relational components? How do media artworks function to convey meaning and manage audience experience?
Process Component(s): Perceive

Performance Standard(s):
a. With guidance, explore and discuss components and messages in a variety of media artworks.
b. With guidance, explore media artworks and discuss experiences."
Arts,PK.MA:Re8,TK,0,0,Media Arts,,Responding,8: Interpret intent and meaning in artistic work,"Enduring Understanding: Interpretation and appreciation require consideration of the intent, form, and context of the media and artwork.
Essential Question(s): How do people relate to and interpret media artworks?
Process Component(s): Interpret

Performance Standard(s):
With guidance, share reactions to media artworks."
Arts,PK.MA:Re9,TK,0,0,Media Arts,,Responding,9: Apply criteria to evaluate artistic work,"Enduring Understanding: Skillful evaluation and critique are critical components of experiencing, appreciating, and producing media artworks.
Essential Question(s): How and why do media artists value and judge media artworks? When and how should we evaluate and critique media artworks to improve them?
Process Component(s): Evaluate

Performance Standard(s):
With guidance, examine and share appealing qualities in media artworks."
Arts,PK.MA:Cn10,TK,0,0,Media Arts,,Connecting,10: Synthesize and relate knowledge and personal experiences to make art,"Enduring Understanding: : Media artworks synthesize meaning and form cultural experience.
Essential Question(s): How do we relate knowledge and experiences to understanding and making media artworks? How do we learn about and create meaning through producing media artworks?
Process Component(s): Synthesize

Performance Standard(s):
a. Use personal experiences in making media artworks.
b. With guidance, share experiences of media artworks."
Arts,PK.MA:Cn11,TK,0,0,Media Arts,,Connecting,"11: Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding","Enduring Understanding: Media artworks and ideas are better understood and produced by relating them to their purposes, values, and various contexts.
Essential Question(s): How does media arts relate to its various contexts, purposes, and values? How does investigating these relationships inform and deepen the media artist's understanding and work?
Process Component(s): Relate

Performance Standard(s):
a. With guidance, relate media artworks and everyday life.
b. With guidance, interact safely and appropriately with media arts tools and environments."
Arts,PK.MU:Cr1,TK,0,0,Music,TK-8,Creating,1: Generate and conceptualize artistic ideas and work,"Enduring Understanding: The creative ideas, concepts, and feelings that influence musicians' work emerge from a variety of sources.
Essential Question(s): How do musicians generate creative ideas?
Process Component(s): Imagine

Performance Standard(s):
a. With substantial guidance, explore and experience a variety of music."
Arts,PK.MU:Cr2,TK,0,0,Music,TK-8,Creating,2: Organize and develop artistic ideas and work,"Enduring Understanding: Musicians' creative choices are influenced by their expertise, context, and expressive intent
Essential Question(s): How do musicians make creative decisions?
Process Component(s): Plan & Make

Performance Standard(s):
a. With substantial guidance, explore favorite musical ideas (such as movements, vocalizations, or instrumental accompaniments).
b. With substantial guidance, select and keep track of the order for performing original musical ideas, using iconic notation and/or recording technology."
Arts,PK.MU:Cr3.1,TK,0,0,Music,TK-8,Creating,3: Refine and complete artistic work,"Enduring Understanding: 3.1 Musicians evaluate, and refine their work through openness to new ideas, persistence, and the application of appropriate criteria.
Essential Question(s): How do musicians improve the quality of their creative work?
Process Component(s): Evaluate and Refine

Performance Standard(s):
With substantial guidance, consider personal, peer, and teacher feedback when demonstrating and refining personal musical ideas."
Arts,PK.MU:Cr3.2,TK,0,0,Music,TK-8,Creating,3: Refine and complete artistic work,"Enduring Understanding: 3.2 Musicians' presentation of creative work is the culmination of a process of creation and communication.
Essential Question(s): When is creative work ready to share?
Process Component(s): Present

Performance Standard(s):
With substantial guidance, share revised personal musical ideas with peers."
Arts,PK.MU:Pr4.1,TK,0,0,Music,TK-8,Performing,"4. Select, analyze, and interpret artistic work for presentation","Enduring Understanding: 4.1 Performers' interest in and knowledge of musical works, understanding of their own technical skill, and the context for a performance influence the selection of repertoire.
Essential Question(s): How do performers select repertoire?
Process Component(s): Select

Performance Standard(s):
With substantial guidance, demonstrate and state personal interest in varied musical selections."
Arts,PK.MU:Pr4.2,TK,0,0,Music,TK-8,Performing,"4. Select, analyze, and interpret artistic work for presentation","Enduring Understanding: 4.2 Analyzing creators' context and how they manipulate elements of music provides insight into their intent and informs performance.
Essential Question(s): How does understanding the structure and context of musical works inform performance?
Process Component(s): Analyze

Performance Standard(s):
a. With substantial guidance, explore and demonstrate awareness of musical contrasts such as high/low, loud/soft, fast/slow."
Arts,PK.MU:Pr4.3,TK,0,0,Music,TK-8,Performing,"4. Select, analyze, and interpret artistic work for presentation","Enduring Understanding: 4.3 Performers make interpretive decisions based on their understanding of context and expressive intent.
Essential Question(s): How do performers interpret musical works?
Process Component(s): Interpret

Performance Standard(s):
With substantial guidance, explore music's expressive qualities (such as voice quality, dynamics, and tempo)."
Arts,PK.MU:Pr5,TK,0,0,Music,TK-8,Performing,5: Develop and refine artistic techniques and work for presentation,"Enduring Understanding: To express their musical ideas, musicians analyze, evaluate, and refine their performance over time through openness to new ideas, persistence, and the application of appropriate criteria.
Essential Question(s): How do musicians improve the quality of their performance?
Process Component(s): Rehearse, Evaluate, and Refine

Performance Standard(s):
a. With substantial guidance, practice and demonstrate what they like about their own performances.
b. With substantial guidance, apply personal, peer, and teacher feedback to refine performances."
Arts,PK.MU:Pr6,TK,0,0,Music,TK-8,Performing,6: Convey meaning through the presentation of artistic work,"Enduring Understanding: Musicians judge performance based on criteria that vary across time, place, and cultures. The context and how a work is presented influence audience response.
Essential Question(s): When is a performance judged ready to present? How do context and the manner in which musical work is presented influence audience response?
Process Component(s): Present

Performance Standard(s):
a. With substantial guidance, perform music with expression.
b. With substantial guidance, demonstrate performance decorum appropriate for the audience."
Arts,PK.MU:Re7.1,TK,0,0,Music,TK-8,Responding,7: Perceive and analyze artistic work,"Enduring Understanding: 7.1 Individuals' selection of musical works is influenced by their interests, experiences, understandings, and purposes.
Essential Question(s): How do individuals choose music to experience?
Process Component(s): Select

Performance Standard(s):
With substantial guidance, state personal interests and demonstrate why they prefer some music selections over others."
Arts,PK.MU:Re7.2,TK,0,0,Music,TK-8,Responding,"7: Perceive and analyze artistic work ","Enduring Understanding: 7.2 Response to music is informed by analyzing context (social, cultural, and historical) and how creators and performers manipulate the elements of music.
Essential Question(s): How do individuals choose music to experience?
Process Component(s): Analyze

Performance Standard(s):
With substantial guidance, explore musical contrasts in music."
Arts,PK.MU:Re8,TK,0,0,Music,TK-8,Responding,8: Interpret intent and meaning in artistic work,"Enduring Understanding: Through their use of elements and structures of music, creators and performers provide clues to their expressive intent.
Essential Question(s): How do we discern the musical creators' and performers' expressive intent?
Process Component(s): Interpret

Performance Standard(s):
With substantial guidance, explore music's expressive qualities (such as dynamics and tempo)."
Arts,PK.MU:Re9,TK,0,0,Music,TK-8,Responding,9: Apply criteria to evaluate artistic work,"Enduring Understanding: The personal evaluation of musical work(s) and performance(s) is informed by analysis, interpretation, and established criteria.
Essential Question(s): How do we judge the quality of musical work(s) and performance(s)?
Process Component(s): Evaluate

Performance Standard(s):
With substantial guidance, talk about personal and expressive preferences in music."
Arts,PK.MU:Cn10,TK,0,0,Music,TK-8,Connecting,10: Synthesize and relate knowledge and personal experiences to make art,"Enduring Understanding: Musicians connect their personal interests, experiences, ideas, and knowledge to creating, performing, and responding.
Essential Question(s): How do musicians make meaningful connections to creating, performing, and responding?
Process Component(s): Synthesize

Performance Standard(s):
With substantial guidance explore how personal interests connect to creating, performing, and responding to music."
Arts,PK.MU:Cn11,TK,0,0,Music,TK-8,Connecting,"11: Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding","Enduring Understanding: Musicians connect societal, cultural, and historical contexts when creating, performing, and responding.
Essential Question(s): How do musicians make meaningful connections to societal, cultural, and historical contexts when creating, performing, and responding?
Process Component(s): Relate

Performance Standard(s):
With substantial guidance explore connections between music and culture."
Arts,PK.TH:Cr1,TK,0,0,Theatre,,Creating,1: Generate and conceptualize artistic ideas and work,"Enduring Understanding: Theatre artists rely on intuition, curiosity, culture, and critical inquiry.
Essential Question(s): What happens when theatre artists use their culture, imaginations and/or learned theatre skills while engaging in creative exploration and inquiry?
Process Component(s): Envision,Conceptualize

Performance Standard(s):
a. With prompting and supports, transition between imagination and reality in dramatic play or a guided drama experience.b. n/ac. With prompting and supports, use non-representational materials to create props, puppets, and costume pieces for dramatic play or a guided drama experience."
Arts,PK.TH:Cr2,TK,0,0,Theatre,,Creating,2: Organize and develop artistic ideas and work,"Enduring Understanding: Theatre artists work to discover different ways of communicating meaning.
Essential Question(s): How, when, and why do theatre artists' choices change?
Process Component(s): Develop

Performance Standard(s):
a. With prompting and supports, contribute through gestures and words to dramatic play or a guided drama experience.
b. With prompting and supports, express original ideas in dramatic play or a guided drama experience."
Arts,PK.TH:Cr3,TK,0,0,Theatre,,Creating,3: Refine and complete artistic work,"Enduring Understanding: Theatre artists refine their work and practice their craft through rehearsal.
Essential Question(s): How do theatre artists transform and edit their initial ideas?
Process Component(s): Rehearse

Performance Standard(s):
a. With prompting and supports, answer questions during dramatic play or a guided drama experience."
Arts,PK.TH:Pr4,TK,0,0,Theatre,,Performing,"4. Select, analyze, and interpret artistic work for presentation","Enduring Understanding: Theatre artists make strong choices to effectively convey meaning.
Essential Question(s): Why are strong choices essential to interpreting a drama or theatre piece?
Process Component(s): Select

Performance Standard(s):
a. With prompting and supports identify characters in dramatic play or a guided drama experience."
Arts,PK.TH:Pr5,TK,0,0,Theatre,,Performing,5: Develop and refine artistic techniques and work for presentation,"Enduring Understanding: Theatre artists develop personal processes and skills for a performance or design.
Essential Question(s): What can I do to fully prepare a performance or technical design?
Process Component(s): Prepare

Performance Standard(s):
a. With prompting and supports, understand that imagination is fundamental to dramatic play and guided drama experiences.
b. With prompting and supports, explore and experiment with various technical theatre elements in dramatic play or a guided drama experience."
Arts,PK.TH:Pr6,TK,0,0,Theatre,,Performing,6: Convey meaning through the presentation of artistic work,"Enduring Understanding: Theatre artists share and present stories, ideas, and envisioned worlds to explore the human experience in diverse cultures.
Essential Question(s): What happens when theatre artists and audiences share a creative experience?
Process Component(s): Share, Present

Performance Standard(s):
With prompting and supports, engage in dramatic play or a guided drama experience and share with others."
Arts,PK.TH:Re7,TK,0,0,Theatre,,Responding,7: Perceive and analyze artistic work,"Enduring Understanding: Theatre artists reflect to understand the impact of drama processes and theatre experiences.
Essential Question(s): How do theatre artists comprehend the essence of drama processes and theatre experiences?
Process Component(s): Reflect

Performance Standard(s):
With prompting and supports, recall an emotional response in dramatic play or a guided drama experience."
Arts,PK.TH:Re8,TK,0,0,Theatre,,Responding,8: Interpret intent and meaning in artistic work,"Enduring Understanding: Theatre artists' interpretations of drama/theatre work are influenced by personal experiences, culture, and aesthetics.
Essential Question(s): How can the same work of art communicate different messages to different people?
Process Component(s): Interpret

Performance Standard(s):
a. With prompting and supports, explore preferences in dramatic play, guided drama experience or age-appropriate theatre performance.b. With prompting and supports, name and describe characters in dramatic play or a guided drama experience.c. With prompting and supports describe how personal emotions and choices compare to the emotions and choices of characters in dramatic play or a guided drama experience."
Arts,PK.TH:Re9,TK,0,0,Theatre,,Responding,9: Apply criteria to evaluate artistic work,"Enduring Understanding: Theatre artists apply criteria to understand, explore, and assess drama and theatre work.
Essential Question(s): How do analysis and synthesis impact the theatre artist's process and audience's perspectives?
Process Component(s): Evaluate

Performance Standard(s):
a. With prompting and supports, discuss and make decisions about dramatic play or a guided drama experience."
Arts,PK.TH:Cn10,TK,0,0,Theatre,,Connecting,10: Synthesize and relate knowledge and personal experiences to make art,"Enduring Understanding: Theatre artists allow awareness of interrelationships between self and others to influence and inform their work.
Essential Question(s): What happens when theatre artists foster understanding between self and others through critical awareness, social responsibility, and the exploration of empathy?
Process Component(s): Empathize

Performance Standard(s):
With prompting and supports, identify similarities between a story and personal experience in dramatic play or a guided drama experience."
Arts,PK.TH:Cn11.1,TK,0,0,Theatre,,Connecting,"11: Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding","Enduring Understanding: 11.1 Theatre artists understand and can communicate through their creative process as they analyze the way the world may be understood.
Essential Question(s): What happens when theatre artists allow an understanding of themselves and the world to inform perceptions about theatre and the purpose of their work?
Process Component(s): Interrelate

Performance Standard(s):
a. With prompting and supports, use skills and knowledge from other areas in dramatic play or a guided drama experience.
b. With prompting and supports, use listening skills to participate in and observe a guided drama experience."
Arts,PK.TH:Cn11.2,TK,0,0,Theatre,,Connecting,"11: Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding","Enduring Understanding: 11.2 Theatre artists critically inquire into the ways others have thought about and created drama processes and productions to inform their own work.
Essential Question(s): In what ways can research into theatre histories, theories, literature, and performances alter the way a drama process or production is understood?
Process Component(s): Research

Performance Standard(s):
a. With prompting and supports, identify stories that are similar to one another in dramatic play or a guided drama experience.
b. With prompting and supports, tell a story in dramatic play or a guided drama experience."
Arts,PK.VA:Cr1.1,TK,0,0,Visual Arts,,Creating,1: Generate and conceptualize artistic ideas and work,"Enduring Understanding: 1.1 Creativity and innovative thinking are essential life skills that can be developed.
Essential Question(s): What conditions, attitudes, and behaviors support creativity and innovative thinking? What factors prevent or encourage people to take creative risks? How does collaboration expand the creative process?
Process Component(s): Imagine, Plan, Make

Performance Standard(s):
Engage in self-directed or collaborative exploration with a variety of arts materials."
Arts,PK.VA:Cr1.2,TK,0,0,Visual Arts,,Creating,1: Generate and conceptualize artistic ideas and work,"Enduring Understanding: 1.2 Artists and designers shape artistic investigations, following or breaking with traditions in pursuit of creative artmaking goals.
Essential Question(s): How does knowing the contexts, histories, and traditions of art forms help us create works of art and design? Why do artists follow or break from established traditions? How do artists determine what resources and criteria are needed to formulate artistic
Process Component(s): Imagine, Plan, Make

Performance Standard(s):
Engage in self-directed, creative artmaking."
Arts,PK.VA:Cr2.1,TK,0,0,Visual Arts,,Creating,2: Organize and develop artistic ideas and work,"Enduring Understanding: 2.1 Artists and designers experiment with forms, structures, materials, concepts, media, and art-making approaches.
Essential Question(s): How do artists work? How do artists and designers determine whether a particular direction in their work is effective? How do artists and designers learn from trial and error?
Process Component(s): Investigate

Performance Standard(s):
Use a variety of art-making tools."
Arts,PK.VA:Cr2.2,TK,0,0,Visual Arts,,Creating,2: Organize and develop artistic ideas and work,"Enduring Understanding: 2.2 Artists and designers balance experimentation and safety, freedom and responsibility while developing and creating artworks.
Essential Question(s): How do artists and designers care for and maintain materials, tools, and equipment? Why is it important for safety and health to understand and follow correct procedures in handling materials, tools, and equipment? What responsibilities come with the free
Process Component(s): Investigate

Performance Standard(s):
Share art materials with others."
Arts,PK.VA:Cr2.3,TK,0,0,Visual Arts,,Creating,2: Organize and develop artistic ideas and work,"Enduring Understanding: 2.3 People create and interact with objects, places, and design that define, shape, enhance, and empower their lives.
Essential Question(s): How do objects, places, and design shape lives and communities? How do artists and designers determine goals for designing or redesigning objects, places, or systems? How do artists and designers create works of art or design that communicate effectively?
Process Component(s): Investigate

Performance Standard(s):
Create and tell about art that communicates a story about a familiar place or object."
Arts,PK.VA:Cr3,TK,0,0,Visual Arts,,Creating,3: Refine and complete artistic work,"Enduring Understanding: Artists and designers develop excellence through practice and constructive critique to reflect on, revise, and refine work over time.
Essential Question(s): What role does persistence play in revising, refining, and developing work? How do artists grow and become accomplished in art forms? How does collaboratively reflecting on a work help us experience it more completely?
Process Component(s): Reflect, Refine, Revise

Performance Standard(s):
Share and talk about personal artwork."
Arts,PK.VA:Pr4,TK,0,0,Visual Arts,,Presenting (Visual Arts only),"4. Select, analyze, and interpret artistic work for presentation","Enduring Understanding: Artists and other presenters consider various techniques, methods, venues, and criteria when analyzing, selecting, and curating objects artifacts, and artworks for preservation and presentation.
Essential Question(s): How are artworks cared for and by whom? What criteria, methods, and processes are used to select work for preservation or presentation? Why do people value objects, artifacts, and artworks, and select them for presentation?
Process Component(s): Select, Analyze

Performance Standard(s):
Identify reasons for saving, and displaying objects, artifacts, and artwork."
Arts,PK.VA:Pr5,TK,0,0,Visual Arts,,Presenting (Visual Arts only),5: Develop and refine artistic techniques and work for presentation,"Enduring Understanding: Artists, curators and others consider a variety of factors and methods including evolving technologies when preparing and refining artwork for display and or when deciding if and how to preserve and protect it.
Essential Question(s): What methods, processes and criteria are considered when preparing artwork for presentation, preservation, portfolio, or collection? How does assessing choices for presentation affect its meaning to the viewer?
Process Component(s): Prepare

Performance Standard(s):
Identify places where art may be displayed or saved."
Arts,PK.VA:Pr6,TK,0,0,Visual Arts,,Presenting (Visual Arts only),6: Convey meaning through the presentation of artistic work,"Enduring Understanding: Objects, artifacts, and artworks collected, preserved, or presented either by artists, museums, or other venues communicate meaning and a record of social, cultural, and political experiences resulting in the cultivating of appreciation and understanding.
Essential Question(s): What is an art museum? How does the presenting and sharing of objects, artifacts, and artworks influence and shape ideas, beliefs, and experiences? How do objects, artifacts, and artworks that are collected, preserved, or presented, cultivate appreciation
Process Component(s): Present

Performance Standard(s):
Identify where art is displayed both inside and outside of school."
Arts,PK.VA:Re7.1,TK,0,0,Visual Arts,,Responding,7: Perceive and analyze artistic work,"Enduring Understanding: 7.1 Individual aesthetic and empathetic awareness developed through engagement with art can lead to understanding and appreciation of self, others, the natural world, and constructed environments.
Essential Question(s): How do life experiences influence the way you relate to art? How does learning about art impact how we perceive the world? What can we learn from our responses to art?
Process Component(s): Perceive

Performance Standard(s):
Recognize art in one's environment."
Arts,PK.VA:Re7.2,TK,0,0,Visual Arts,,Responding,7: Perceive and analyze artistic work,"Enduring Understanding: 7.2 Visual imagery influences understanding of and responses to the world.
Essential Question(s): What is an image? Where and how do we encounter images in our world? How do images influence our views of the world?
Process Component(s): Perceive, Analyze

Performance Standard(s):
Distinguish between images and real objects."
Arts,PK.VA:Re8,TK,0,0,Visual Arts,,Responding,8: Interpret intent and meaning in artistic work,"Enduring Understanding: People gain insights into meanings of artworks by engaging in the process of art criticism.
Essential Question(s): What is the value of engaging in the process of art criticism? How can the viewer ""read"" a work of art as text? How does knowing and using visual arts vocabularies help us understand and interpret works of art?
Process Component(s): Interpret

Performance Standard(s):
Interpret art by identifying and describing subject matter."
Arts,PK.VA:Re9,TK,0,0,Visual Arts,,Responding,9: Apply criteria to evaluate artistic work,"Enduring Understanding: People evaluate art based on various criteria.
Essential Question(s): How does one determine criteria to evaluate a work of art? How and why might criteria vary? How is a personal preference different from an evaluation?
Process Component(s): Evaluate

Performance Standard(s):
Select a preferred artwork and share."
Arts,PK.VA:Cn10,TK,0,0,Visual Arts,,Connecting,10: Synthesize and relate knowledge and personal experiences to make art,"Enduring Understanding: Through artmaking, people make meaning by investigating and developing awareness of perceptions, knowledge, and experiences.
Essential Question(s): How does engaging in creating art enrich people's lives? How does making art attune people to their surroundings? How do people contribute to awareness and understanding of their lives and the lives of their communities through artmaking?
Process Component(s): Synthesize

Performance Standard(s):
Explore the world using descriptive and expressive words and artmaking."
Arts,PK.VA:Cn11,TK,0,0,Visual Arts,,Connecting,"11: Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding","Enduring Understanding: People develop ideas and understandings of society, culture, and history through their interactions with and analysis of art.
Essential Question(s): How does art help us understand the lives of people of different times, places, and cultures? How is art used to impact the views of a society? How does art preserve aspects of life?
Process Component(s): Relate

Performance Standard(s):
Recognize that people make art."
Arts,K.VA:Cn11,K,0,0,Visual Arts,,Connecting,"11: Relate artistic ideas and works with societal, cultural, and historical context to deepen understanding","Enduring Understanding: People develop ideas and understandings of society, culture, and history through their interactions with and analysis of art.
Essential Question(s): How does art help us understand the lives of people of different times, places, and cultures? How is art used to impact the views of a society? How does art preserve aspects of life?
Process Component(s): Relate

Performance Standard(s):
Identify a purpose of an artwork."
Arts,K.VA:Cn10,K,0,0,Visual Arts,,Connecting,10: Synthesize and relate knowledge and personal experiences to make art,"Enduring Understanding: Through artmaking, people make meaning by investigating and developing awareness of perceptions, knowledge, and experiences.
Essential Question(s): How does engaging in creating art enrich people's lives? How does making art attune people to their surroundings? How do people contribute to awareness and understanding of their lives and the lives of their communities through artmaking?
Process Component(s): Synthesize

Performance Standard(s):
Create art that tells a story about a life experience."
Arts,K.VA:Re9,K,0,0,Visual Arts,,Responding,9: Apply criteria to evaluate artistic work,"Enduring Understanding: People evaluate art based on various criteria.
Essential Question(s): How does one determine criteria to evaluate a work of art? How and why might criteria vary? How is a personal preference different from an evaluation?
Process Component(s): Evaluate

Performance Standard(s):
Explain reasons for selecting a preferred artwork."
Arts,K.VA:Re8,K,0,0,Visual Arts,,Responding,8: Interpret intent and meaning in artistic work,"Enduring Understanding: People gain insights into meanings of artworks by engaging in the process of art criticism.
Essential Question(s): What is the value of engaging in the process of art criticism? How can the viewer ""read"" a work of art as text? How does knowing and using visual arts vocabularies help us understand and interpret works of art?
Process Component(s): Interpret

Performance Standard(s):
Interpret art by identifying subject matter and describing relevant details."
Arts,K.VA:Re7.2,K,0,0,Visual Arts,,Responding,7: Perceive and analyze artistic work,"Enduring Understanding: 7.2 Visual imagery influences understanding of and responses to the world.
Essential Question(s): What is an image? Where and how do we encounter images in our world? How do images influence our views of the world?
Process Component(s): Perceive, Analyze

Performance Standard(s):
Describe what an image represents."
