Content Area,Standard Identifier,Grade Range,Min Grade,Max Grade,Subject Area,Domain,Cluster,Description
English Language Arts,RI.K.1,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Key Ideas and Details,"Standard:
With prompting and support, ask and answer questions about key details in a text."
English Language Arts,RI.K.10,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Range of Reading and Level of Text Complexity,"Standard:
Actively engage in group reading activities with purpose and understanding.
a. Activate prior knowledge related to the information and events in texts. CA
b. Use illustrations and context to make predictions about text. CA"
English Language Arts,RI.K.2,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Key Ideas and Details,"Standard:
With prompting and support, identify the main topic and retell key details of a text."
English Language Arts,RI.K.3,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Key Ideas and Details,"Standard:
With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text."
English Language Arts,RI.K.4,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Craft and Structure,"Standard:
With prompting and support, ask and answer questions about unknown words in a text. (See grade K Language standards 4-6 additional expectations.) CA"
English Language Arts,RI.K.5,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Craft and Structure,"Standard:
Identify the front cover, back cover, and title page of a book."
English Language Arts,RI.K.6,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Craft and Structure,"Standard:
Name the author and illustrator of a text and define the role of each in presenting the ideas or information in a text."
English Language Arts,RI.K.7,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Integration of Knowledge and Ideas,"Standard:
With prompting and support, describe the relationship between illustrations and the text in which they appear (e.g., what person, place, thing, or idea in the text an illustration depicts)."
English Language Arts,RI.K.8,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Integration of Knowledge and Ideas,"Standard:
With prompting and support, identify the reasons an author gives to support points in a text."
English Language Arts,RI.K.9,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Integration of Knowledge and Ideas,"Standard:
With prompting and support, identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
English Language Arts,RL.K.1,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Key Ideas and Details,"Standard:
With prompting and support, ask and answer questions about key details in a text."
English Language Arts,RL.K.10,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Range of Reading and Level of Text Complexity,"Standard:
Actively engage in group reading activities with purpose and understanding.
a. Activate prior knowledge related to the information and events in texts. CA
b. Use illustrations and context to make predictions about text. CA"
English Language Arts,RL.K.2,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Key Ideas and Details,"Standard:
With prompting and support, retell familiar stories, including key details."
English Language Arts,RL.K.3,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Key Ideas and Details,"Standard:
With prompting and support, identify characters, settings, and major events in a story."
English Language Arts,RL.K.4,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Craft and Structure,"Standard:
Ask and answer questions about unknown words in a text. (See grade K Language standards 4-6 for additional expectations.) CA"
English Language Arts,RL.K.5,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Craft and Structure,"Standard:
Recognize common types of texts (e.g., storybooks, poems, fantasy, realistic text). CA"
English Language Arts,RL.K.6,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Craft and Structure,"Standard:
With prompting and support, name the author and illustrator of a story and define the role of each in telling the story."
English Language Arts,RL.K.7,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Integration of Knowledge and Ideas,"Standard:
With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts)."
English Language Arts,RL.K.8,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Integration of Knowledge and Ideas,"Standard:
(Not applicable to literature)"
English Language Arts,RL.K.9,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Integration of Knowledge and Ideas,"Standard:
With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories."
English Language Arts,SL.K.1,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Comprehension and Collaboration,"Standard:
Participate in collaborative conversations with diverse partners about kindergarten topics and texts with peers and adults in small and larger groups.
a. Follow agreed-upon rules for discussions (e.g., listening to others and taking turns speaking about the topics and texts under discussion).
b. Continue a conversation through multiple exchanges."
English Language Arts,SL.K.2,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Comprehension and Collaboration,"Standard:
Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.
a. Understand and follow one- and two-step oral directions. CA"
English Language Arts,SL.K.3,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Comprehension and Collaboration,"Standard:
Ask and answer questions in order to seek help, get information, or clarify something that is not understood."
English Language Arts,SL.K.4,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Presentation of Knowledge and Ideas,"Standard:
Describe familiar people, places, things, and events and, with prompting and support, provide additional detail."
English Language Arts,SL.K.5,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Presentation of Knowledge and Ideas,"Standard:
Add drawings or other visual displays to descriptions as desired to provide additional detail."
English Language Arts,SL.K.6,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Presentation of Knowledge and Ideas,"Standard:
Speak audibly and express thoughts, feelings, and ideas clearly."
English Language Arts,W.K.1,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Text Types and Purposes,"Standard:
Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book (e.g., My favorite book is . . .)."
English Language Arts,W.K.10,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Range of Writing,"Standard:
(Begins in grade 2) CA"
English Language Arts,W.K.2,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Text Types and Purposes,"Standard:
Use a combination of drawing, dictating, and writing to compose informative/explanatory
texts in which they name what they are writing about and supply some information about the topic."
English Language Arts,W.K.3,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Production and Distribution of Writing,"Standard:
Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened."
English Language Arts,W.K.4,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Production and Distribution of Writing,"Standard:
(Begins in grade 2) CA"
English Language Arts,W.K.5,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Production and Distribution of Writing,"Standard:
With guidance and support from adults, respond to questions and suggestions from peers and add details to strengthen writing as needed."
English Language Arts,W.K.6,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Production and Distribution of Writing,"Standard:
With guidance and support from adults, explore a variety of digital tools to produce and publish writing, including in collaboration with peers."
English Language Arts,W.K.7,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Research to Build and Present Knowledge,"Standard:
Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them)."
English Language Arts,W.K.8,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Research to Build and Present Knowledge,"Standard:
With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question."
English Language Arts,W.K.9,K,0,0,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Research to Build and Present Knowledge,"Standard:
(Begins in grade 4)"
English Language Arts,L.1.1,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Conventions of Standard English,"Standard:
Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
a. Print all upper- and lowercase letters.
b. Use common, proper, and possessive nouns.
c. Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop).
d. Use personal (subject, object), possessive, and indefinite pronouns (e.g., I, me, my; they, them, their; anyone, everything). CA
e. Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home).
f. Use frequently occurring adjectives.
g. Use frequently occurring conjunctions (e.g., and, but, or, so, because).
h. Use determiners (e.g., articles, demonstratives).
i. Use frequently occurring prepositions (e.g., during, beyond, toward).
j. Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts."
English Language Arts,L.1.2,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Conventions of Standard English,"Standard:
Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing
a. Capitalize dates and names of people.
b. Use end punctuation for sentences.
c. Use commas in dates and to separate single words in a series.
d. Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.
e. Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions."
English Language Arts,L.1.3,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Knowledge of Language,"Standard:
(Begins in grade 2)"
English Language Arts,L.1.4,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Vocabulary Acquisition and Use,"Standard:
Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies.
a. Use sentence-level context as a clue to the meaning of a word or phrase.
b. Use frequently occurring affixes as a clue to the meaning of a word.
c. Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking)."
English Language Arts,L.1.5,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Vocabulary Acquisition and Use,"Standard:
With guidance and support from adults, demonstrate understanding of word relationships and nuances in word meanings.
a. Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent.
b. Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes).
c. Identify real-life connections between words and their use (e.g., note places at home that are cozy).
d. Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings."
English Language Arts,L.1.6,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Vocabulary Acquisition and Use,"Standard:
Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., because)."
English Language Arts,RF.1.1,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Foundational Skills,Print Concepts,"Standard:
Demonstrate understanding of the organization and basic features of print.
a. Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation)."
English Language Arts,RF.1.2,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Foundational Skills,Phonological Awareness,"Standard:
Demonstrate understanding of spoken words, syllables, and sounds (phonemes).
a. Distinguish long from short vowel sounds in spoken single-syllable words.
b. Orally produce single-syllable words by blending sounds (phonemes), including consonant blends.
c. Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words.
d. Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes)."
English Language Arts,RF.1.3,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Foundational Skills,Phonics and Word Recognition,"Standard:
Know and apply grade-level phonics and word analysis skills in decoding words both in isolation and in text. CA
a. Know the spelling-sound correspondences for common consonant digraphs.
b. Decode regularly spelled one-syllable words.
c. Know final -e and common vowel team conventions for representing long vowel sounds.
d. Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word.
e. Decode two-syllable words following basic patterns by breaking the words into syllables.
f. Read words with inflectional endings.
g. Recognize and read grade-appropriate irregularly spelled words."
English Language Arts,RF.1.4,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Foundational Skills,Fluency,"Standard:
Read with sufficient accuracy and fluency to support comprehension.
a. Read on-level text with purpose and understanding.
b. Read on-level text orally with accuracy, appropriate rate, and expression on successive readings.
c. Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
English Language Arts,RI.1.1,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Key Ideas and Details,"Standard:
Ask and answer questions about key details in a text."
English Language Arts,RI.1.10,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Range of Reading and Level of Text Complexity,"Standard:
With prompting and support, read informational texts appropriately complex for grade 1.
a. Activate prior knowledge related to the information and events in a text. CA
b. Confirm predictions about what will happen next in a text. CA"
English Language Arts,RI.1.2,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Key Ideas and Details,"Standard:
Identify the main topic and retell key details of a text."
English Language Arts,RI.1.3,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Key Ideas and Details,"Standard:
Describe the connection between two individuals, events, ideas, or pieces of information in a text."
English Language Arts,RI.1.4,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Craft and Structure,"Standard:
Ask and answer questions to help determine or clarify the meaning of words and phrases in a text. (See grade 1 Language standards 4-6 for additional expectations.) CA"
English Language Arts,RI.1.5,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Craft and Structure,"Standard:
Know and use various text structures (e.g., sequence) and text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text. CA"
English Language Arts,RI.1.6,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Craft and Structure,"Standard:
Distinguish between information provided by pictures or other illustrations and information provided by the words in a text."
English Language Arts,RI.1.7,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Integration of Knowledge and Ideas,"Standard:
Use the illustrations and details in a text to describe its key ideas."
English Language Arts,RI.1.8,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Integration of Knowledge and Ideas,"Standard:
Identify the reasons an author gives to support points in a text."
English Language Arts,RI.1.9,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Informational Text,Integration of Knowledge and Ideas,"Standard:
Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
English Language Arts,RL.1.1,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Key Ideas and Details,"Standard:
Ask and answer questions about key details in a text."
English Language Arts,RL.1.10,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Range of Reading and Level of Text Complexity,"Standard:
With prompting and support, read prose and poetry of appropriate complexity for grade 1.
a. Activate prior knowledge related to the information and events in a text. CA
b. Confirm predictions about what will happen next in a text. CA"
English Language Arts,RL.1.2,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Key Ideas and Details,"Standard:
Retell stories, including key details, and demonstrate understanding of their central message or lesson."
English Language Arts,RL.1.3,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Key Ideas and Details,"Standard:
Describe characters, settings, and major events in a story, using key details."
English Language Arts,RL.1.4,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Craft and Structure,"Standard:
Identify words and phrases in stories or poems that suggest feelings or appeal to the senses. (See grade 1 Language standards 4-6 for additional expectations.) CA"
English Language Arts,RL.1.5,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Craft and Structure,"Standard:
Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types."
English Language Arts,RL.1.6,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Craft and Structure,"Standard:
Identify who is telling the story at various points in a text."
English Language Arts,RL.1.7,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Integration of Knowledge and Ideas,"Standard:
Use illustrations and details in a story to describe its characters, setting, or events."
English Language Arts,RL.1.8,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Integration of Knowledge and Ideas,"Standard:
(Not applicable to literature)"
English Language Arts,RL.1.9,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Reading: Literature,Integration of Knowledge and Ideas,"Standard:
Compare and contrast the adventures and experiences of characters in stories."
English Language Arts,SL.1.1,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Comprehension and Collaboration,"Standard:
Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups.
a. Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion).
b. Build on others' talk in conversations by responding to the comments of others through multiple exchanges.
c. Ask questions to clear up any confusion about the topics and texts under discussion."
English Language Arts,SL.1.2,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Comprehension and Collaboration,"Standard:
Ask and answer questions about key details in a text read aloud or information presented orally or through other media.
a. Give, restate, and follow simple two-step directions. CA"
English Language Arts,SL.1.3,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Comprehension and Collaboration,"Standard:
Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood."
English Language Arts,SL.1.4,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Presentation of Knowledge and Ideas,"Standard:
Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly.
a. Memorize and recite poems, rhymes, and songs with expression. CA"
English Language Arts,SL.1.5,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Presentation of Knowledge and Ideas,"Standard:
Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings."
English Language Arts,SL.1.6,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Speaking and Listening,Presentation of Knowledge and Ideas,"Standard:
Produce complete sentences when appropriate to task and situation. (See grade 1 Language standards 1 and 3 for specific expectations.)"
English Language Arts,W.1.1,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Text Types and Purposes,"Standard:
Write opinion pieces in which they introduce the topic or name the book they are writing about, state an opinion, supply a reason for the opinion, and provide some sense of closure."
English Language Arts,W.1.10,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Range of Writing,"Standard:
(Begins in grade 2) CA"
English Language Arts,W.1.2,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Text Types and Purposes,"Standard:
Write informative/explanatory texts in which they name a topic, supply some facts about the topic, and provide some sense of closure."
English Language Arts,W.1.3,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Text Types and Purposes,"Standard:
Write narratives in which they recount two or more appropriately sequenced events, include some details regarding what happened, use temporal words to signal event order, and provide some sense of closure."
English Language Arts,W.1.4,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Production and Distribution of Writing,"Standard:
(Begins in grade 2) CA"
English Language Arts,W.1.5,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Production and Distribution of Writing,"Standard:
With guidance and support from adults, focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed."
English Language Arts,W.1.6,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Production and Distribution of Writing,"Standard:
With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers."
English Language Arts,W.1.7,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Research to Build and Present Knowledge,"Standard:
Participate in shared research and writing projects (e.g., explore a number of ""how-to"" books on a given topic and use them to write a sequence of instructions)."
English Language Arts,W.1.8,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Research to Build and Present Knowledge,"Standard:
With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question."
English Language Arts,W.1.9,1,1,1,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Writing,Research to Build and Present Knowledge,"Standard:
(Begins in grade 4)"
English Language Arts,L.2.1,2,2,2,"English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects (K-5)",Language,Conventions of Standard English,"Standard:
Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
a. Use collective nouns (e.g., group).
b. Form and use frequently occurring irregular plural nouns (e.g., feet, children, teeth, mice, fish).
c. Use reflexive pronouns (e.g., myself, ourselves).
d. Form and use the past tense of frequently occurring irregular verbs (e.g., sat, hid, told).
e. Use adjectives and adverbs, and choose between them depending on what is to be modified.
f. Produce, expand, and rearrange complete simple and compound sentences (e.g., The boy watched the movie; The little boy watched the movie; The action movie was watched by the little boy).
g. Create readable documents with legible print. CA"
