Content Area,Standard Identifier,Grade Range,Min Grade,Max Grade,Domain,Discipline,Conceptual Category,Description
Mathematics,K.G.2,K,0,0,Geometry,,,"Cluster:
Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).

Standard:
Correctly name shapes regardless of their orientations or overall size."
Mathematics,K.G.3,K,0,0,Geometry,,,"Cluster:
Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).

Standard:
Identify shapes as two-dimensional (lying in a plane, ""flat"") or three-dimensional (""solid"")."
Mathematics,K.G.4,K,0,0,Geometry,,,"Cluster:
Analyze, compare, create, and compose shapes.

Standard:
Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/""corners"") and other attributes (e.g., having sides of equal length)."
Mathematics,K.G.5,K,0,0,Geometry,,,"Cluster:
Analyze, compare, create, and compose shapes.

Standard:
Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes."
Mathematics,K.G.6,K,0,0,Geometry,,,"Cluster:
Analyze, compare, create, and compose shapes.

Standard:
Compose simple shapes to form larger shapes. For example, ""Can you join these two triangles with full sides touching to make a rectangle?"""
Mathematics,K.MD.1,K,0,0,Measurement and Data,,,"Cluster:
Describe and compare measurable attributes.

Standard:
Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object."
Mathematics,K.MD.2,K,0,0,Measurement and Data,,,"Cluster:
Describe and compare measurable attributes.

Standard:
Directly compare two objects with a measurable attribute in common, to see which object has ""more of""/""less of"" the attribute, and describe the difference. For example, directly compare the heights of two children and describe one child as taller/shorter."
Mathematics,K.MD.3,K,0,0,Measurement and Data,,,"Cluster:
Classify objects and count the number of objects in each category.

Standard:
Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.

Footnote:
Limit category counts to be less than or equal to 10."
Mathematics,K.NBT.1,K,0,0,Number and Operations in Base Ten,,,"Cluster:
Work with numbers 11-19 to gain foundations for place value.

Standard:
Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (e.g., 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones."
Mathematics,K.OA.1,K,0,0,Operations and Algebraic Thinking,,,"Cluster:
Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.

Standard:
Represent addition and subtraction with objects, fingers, mental images, drawings, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations.

Footnote:
Drawings need not show details, but should show the mathematics in the problem. (This applies wherever drawings are mentioned in the Standards.)"
Mathematics,K.OA.2,K,0,0,Operations and Algebraic Thinking,,,"Cluster:
Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.

Standard:
Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem."
Mathematics,K.OA.3,K,0,0,Operations and Algebraic Thinking,,,"Cluster:
Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.

Standard:
Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1)."
Mathematics,K.OA.4,K,0,0,Operations and Algebraic Thinking,,,"Cluster:
Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.

Standard:
For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation."
Mathematics,K.OA.5,K,0,0,Operations and Algebraic Thinking,,,"Cluster:
Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.

Standard:
Fluently add and subtract within 5."
Mathematics,1.G.1,1,1,1,Geometry,,,"Cluster:
Reason with shapes and their attributes.

Standard:
Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes."
Mathematics,1.G.2,1,1,1,Geometry,,,"Cluster:
Reason with shapes and their attributes.

Standard:
Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.

Footnote:
Students do not need to learn formal names such as ""right rectangular prism."""
Mathematics,1.G.3,1,1,1,Geometry,,,"Cluster:
Reason with shapes and their attributes.

Standard:
Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares."
Mathematics,1.MD.1,1,1,1,Measurement and Data,,,"Cluster:
Measure lengths indirectly and by iterating length units.

Standard:
Order three objects by length; compare the lengths of two objects indirectly by using a third object."
Mathematics,1.MD.2,1,1,1,Measurement and Data,,,"Cluster:
Measure lengths indirectly and by iterating length units.

Standard:
Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. Limit to contexts where the object being measured is spanned by a whole number of length units with no gaps or overlaps."
Mathematics,1.MD.3,1,1,1,Measurement and Data,,,"Cluster:
Tell and write time.

Standard:
Tell and write time in hours and half-hours using analog and digital clocks."
Mathematics,1.MD.4,1,1,1,Measurement and Data,,,"Cluster:
Represent and interpret data.

Standard:
Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another."
Mathematics,1.NBT.1,1,1,1,Number and Operations in Base Ten,,,"Cluster:
Extend the counting sequence.

Standard:
Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral."
Mathematics,1.NBT.2.a,1,1,1,Number and Operations in Base Ten,,,"Cluster:
Understand place value.

Standard:
Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases: 10 can be thought of as a bundle of ten ones-called a ""ten."""
Mathematics,1.NBT.2.b,1,1,1,Number and Operations in Base Ten,,,"Cluster:
Understand place value.

Standard:
Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases: The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones."
Mathematics,1.NBT.2.c,1,1,1,Number and Operations in Base Ten,,,"Cluster:
Understand place value.

Standard:
Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases: The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones)."
Mathematics,1.NBT.3,1,1,1,Number and Operations in Base Ten,,,"Cluster:
Understand place value.

Standard:
Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <."
Mathematics,1.NBT.4,1,1,1,Number and Operations in Base Ten,,,"Cluster:
Use place value understanding and properties of operations to add and subtract.

Standard:
Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten."
Mathematics,1.NBT.5,1,1,1,Number and Operations in Base Ten,,,"Cluster:
Use place value understanding and properties of operations to add and subtract.

Standard:
Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used."
Mathematics,1.NBT.6,1,1,1,Number and Operations in Base Ten,,,"Cluster:
Use place value understanding and properties of operations to add and subtract.

Standard:
Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used."
Mathematics,1.OA.1,1,1,1,Operations and Algebraic Thinking,,,"Cluster:
Represent and solve problems involving addition and subtraction.

Standard:
Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.

Footnote:
See Glossary, Table 1."
Mathematics,1.OA.2,1,1,1,Operations and Algebraic Thinking,,,"Cluster:
Represent and solve problems involving addition and subtraction.

Standard:
Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem."
Mathematics,1.OA.3,1,1,1,Operations and Algebraic Thinking,,,"Cluster:
Understand and apply properties of operations and the relationship between addition and subtraction.

Standard:
Apply properties of operations as strategies to add and subtract. Examples: If 8 + 3 = 11 is known, then 3 + 8 = 11 is also known. (Commutative property of addition.) To add 2 + 6 + 4, the second two numbers can be added to make a ten, so 2 + 6 + 4 = 2 + 10 = 12. (Associative property of addition.)

Footnote:
Students need not use formal terms for these properties."
Mathematics,1.OA.4,1,1,1,Operations and Algebraic Thinking,,,"Cluster:
Understand and apply properties of operations and the relationship between addition and subtraction.

Standard:
Understand subtraction as an unknown-addend problem. For example, subtract 10 - 8 by finding the number that makes 10 when added to 8."
Mathematics,1.OA.5,1,1,1,Operations and Algebraic Thinking,,,"Cluster:
Add and subtract within 20.

Standard:
Relate counting to addition and subtraction (e.g., by counting on 2 to add 2)."
Mathematics,1.OA.6,1,1,1,Operations and Algebraic Thinking,,,"Cluster:
Add and subtract within 20.

Standard:
Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 - 4 = 13 - 3 - 1 = 10 - 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 - 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13)."
Mathematics,1.OA.7,1,1,1,Operations and Algebraic Thinking,,,"Cluster:
Work with addition and subtraction equations.

Standard:
Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false. For example, which of the following equations are true and which are false? 6 = 6, 7 = 8 - 1, 5 + 2 = 2 + 5, 4 + 1 = 5 + 2."
Mathematics,1.OA.8,1,1,1,Operations and Algebraic Thinking,,,"Cluster:
Work with addition and subtraction equations.

Standard:
Determine the unknown whole number in an addition or subtraction equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 + ? = 11, 5 = ? - 3, 6 + 6 = ?."
Mathematics,2.G.1,2,2,2,Geometry,,,"Cluster:
Reason with shapes and their attributes.

Standard:
Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces. Identify triangles, quadrilaterals, pentagons, hexagons, and cubes.

Footnote:
Sizes are compared directly or visually, not compared by measuring."
Mathematics,2.G.2,2,2,2,Geometry,,,"Cluster:
Reason with shapes and their attributes.

Standard:
Partition a rectangle into rows and columns of same-size squares and count to find the total number of them."
Mathematics,2.G.3,2,2,2,Geometry,,,"Cluster:
Reason with shapes and their attributes.

Standard:
Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape."
Mathematics,2.MD.1,2,2,2,Measurement and Data,,,"Cluster:
Measure and estimate lengths in standard units.

Standard:
Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes."
Mathematics,2.MD.10,2,2,2,Measurement and Data,,,"Cluster:
Represent and interpret data.

Standard:
Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems4 using information presented in a bar graph.

Footnote:
See Glossary, Table 1."
Mathematics,2.MD.2,2,2,2,Measurement and Data,,,"Cluster:
Measure and estimate lengths in standard units.

Standard:
Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen."
Mathematics,2.MD.3,2,2,2,Measurement and Data,,,"Cluster:
Measure and estimate lengths in standard units.

Standard:
Estimate lengths using units of inches, feet, centimeters, and meters."
Mathematics,2.MD.4,2,2,2,Measurement and Data,,,"Cluster:
Measure and estimate lengths in standard units.

Standard:
Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit."
Mathematics,2.MD.5,2,2,2,Measurement and Data,,,"Cluster:
Relate addition and subtraction to length.

Standard:
Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem."
Mathematics,2.MD.6,2,2,2,Measurement and Data,,,"Cluster:
Relate addition and subtraction to length.

Standard:
Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, . . . , and represent whole-number sums and differences within 100 on a number line diagram."
Mathematics,2.MD.7,2,2,2,Measurement and Data,,,"Cluster:
Work with time and money.

Standard:
Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m. Know relationships of time (e.g., minutes in an hour, days in a month, weeks in a year). CA"
Mathematics,2.MD.8,2,2,2,Measurement and Data,,,"Cluster:
Work with time and money.

Standard:
Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ¢ symbols appropriately. Example: If you have 2 dimes and 3 pennies, how many cents do you have?"
Mathematics,2.MD.9,2,2,2,Measurement and Data,,,"Cluster:
Represent and interpret data.

Standard:
Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units."
Mathematics,2.NBT.1.a,2,2,2,Number and Operations in Base Ten,,,"Cluster:
Understand place value.

Standard:
Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases: 100 can be thought of as a bundle of ten tens-called a ""hundred."""
Mathematics,2.NBT.1.b,2,2,2,Number and Operations in Base Ten,,,"Cluster:
Understand place value.

Standard:
Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases: The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones)."
Mathematics,2.NBT.2,2,2,2,Number and Operations in Base Ten,,,"Cluster:
Understand place value.

Standard:
Count within 1000; skip-count by 2s, 5s, 10s, and 100s. CA"
Mathematics,2.NBT.3,2,2,2,Number and Operations in Base Ten,,,"Cluster:
Understand place value.

Standard:
Read and write numbers to 1000 using base-ten numerals, number names, and expanded form."
Mathematics,2.NBT.4,2,2,2,Number and Operations in Base Ten,,,"Cluster:
Understand place value.

Standard:
Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons."
Mathematics,2.NBT.5,2,2,2,Number and Operations in Base Ten,,,"Cluster:
Use place value understanding and properties of operations to add and subtract.

Standard:
Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction."
Mathematics,2.NBT.6,2,2,2,Number and Operations in Base Ten,,,"Cluster:
Use place value understanding and properties of operations to add and subtract.

Standard:
Add up to four two-digit numbers using strategies based on place value and properties of operations."
Mathematics,2.NBT.7,2,2,2,Number and Operations in Base Ten,,,"Cluster:
Use place value understanding and properties of operations to add and subtract.

Standard:
Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds."
Mathematics,2.NBT.7.1,2,2,2,Number and Operations in Base Ten,,,"Cluster:
Use place value understanding and properties of operations to add and subtract.

Standard:
Use estimation strategies to make reasonable estimates in problem solving. CA"
Mathematics,2.NBT.8,2,2,2,Number and Operations in Base Ten,,,"Cluster:
Use place value understanding and properties of operations to add and subtract.

Standard:
Mentally add 10 or 100 to a given number 100-900, and mentally subtract 10 or 100 from a given number 100-900."
Mathematics,2.NBT.9,2,2,2,Number and Operations in Base Ten,,,"Cluster:
Use place value understanding and properties of operations to add and subtract.

Standard:
Explain why addition and subtraction strategies work, using place value and the properties of operations.

Footnote:
Explanations may be supported by drawings or objects."
Mathematics,2.OA.1,2,2,2,Operations and Algebraic Thinking,,,"Cluster:
Represent and solve problems involving addition and subtraction.

Standard:
Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.

Footnote:
See Glossary, Table 1."
Mathematics,2.OA.2,2,2,2,Operations and Algebraic Thinking,,,"Cluster:
Add and subtract within 20.

Standard:
Fluently add and subtract within 20 using mental strategies. By end of Grade 2, know from memory all sums of two one-digit numbers.

Footnote:
See standard 1.OA.6 for a list of mental strategies."
Mathematics,2.OA.3,2,2,2,Operations and Algebraic Thinking,,,"Cluster:
Work with equal groups of objects to gain foundations for multiplication.

Standard:
Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends."
Mathematics,2.OA.4,2,2,2,Operations and Algebraic Thinking,,,"Cluster:
Work with equal groups of objects to gain foundations for multiplication.

Standard:
Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends."
Mathematics,3.G.1,3,3,3,Geometry,,,"Cluster:
Reason with shapes and their attributes.

Standard:
Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories."
Mathematics,3.G.2,3,3,3,Geometry,,,"Cluster:
Reason with shapes and their attributes.

Standard:
Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole. For example, partition a shape into 4 parts with equal area, and describe the area of each part as 1/4 of the area of the shape."
Mathematics,3.MD.1,3,3,3,Measurement and Data,,,"Cluster:
Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.

Standard:
Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram."
Mathematics,3.MD.2,3,3,3,Measurement and Data,,,"Cluster:
Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.

Standard:
Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l). Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.

Footnote:
Excludes compound units such as cm^3 and finding the geometric volume of a container.

Excludes multiplicative comparison problems (problems involving notions of ""times as much""; see Glossary, Table 2)."
Mathematics,3.MD.3,3,3,3,Measurement and Data,,,"Cluster:
Represent and interpret data.

Standard:
Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step ""how many more"" and ""how many less"" problems using information presented in scaled bar graphs. For example, draw a bar graph in which each square in the bar graph might represent 5 pets."
Mathematics,3.MD.4,3,3,3,Measurement and Data,,,"Cluster:
Represent and interpret data.

Standard:
Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units-whole numbers, halves, or quarters."
Mathematics,3.MD.5.a,3,3,3,Measurement and Data,,,"Cluster:
Geometric measurement: understand concepts of area and relate area to multiplication and to addition.

Standard:
Recognize area as an attribute of plane figures and understand concepts of area measurement. A square with side length 1 unit, called ""a unit square,"" is said to have ""one square unit"" of area, and can be used to measure area."
Mathematics,3.MD.5.b,3,3,3,Measurement and Data,,,"Cluster:
Geometric measurement: understand concepts of area and relate area to multiplication and to addition.

Standard:
Recognize area as an attribute of plane figures and understand concepts of area measurement. A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units."
Mathematics,3.MD.6,3,3,3,Measurement and Data,,,"Cluster:
Geometric measurement: understand concepts of area and relate area to multiplication and to addition.

Standard:
Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units)."
Mathematics,3.MD.7.a,3,3,3,Measurement and Data,,,"Cluster:
Geometric measurement: understand concepts of area and relate area to multiplication and to addition.

Standard:
Relate area to the operations of multiplication and addition. Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths."
Mathematics,3.MD.7.b,3,3,3,Measurement and Data,,,"Cluster:
Geometric measurement: understand concepts of area and relate area to multiplication and to addition.

Standard:
Relate area to the operations of multiplication and addition. Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real-world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning."
Mathematics,3.MD.7.c,3,3,3,Measurement and Data,,,"Cluster:
Geometric measurement: understand concepts of area and relate area to multiplication and to addition.

Standard:
Relate area to the operations of multiplication and addition. Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a × b and a × c. Use area models to represent the distributive property in mathematical reasoning."
Mathematics,3.MD.7.d,3,3,3,Measurement and Data,,,"Cluster:
Geometric measurement: understand concepts of area and relate area to multiplication and to addition.

Standard:
Relate area to the operations of multiplication and addition. Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real-world problems."
Mathematics,3.MD.8,3,3,3,Measurement and Data,,,"Cluster:
Geometric measurement: recognize perimeter as an attribute of plane figures and distinguish between linear and area measures.

Standard:
Solve real-world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters."
Mathematics,3.NBT.1,3,3,3,Number and Operations in Base Ten,,,"Cluster:
Use place value understanding and properties of operations to perform multi-digit arithmetic.

Standard:
Use place value understanding to round whole numbers to the nearest 10 or 100.

Footnote:
A range of algorithms may be used."
Mathematics,3.NBT.2,3,3,3,Number and Operations in Base Ten,,,"Cluster:
Use place value understanding and properties of operations to perform multi-digit arithmetic.

Standard:
Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction."
Mathematics,3.NBT.3,3,3,3,Number and Operations in Base Ten,,,"Cluster:
Use place value understanding and properties of operations to perform multi-digit arithmetic.

Standard:
Multiply one-digit whole numbers by multiples of 10 in the range 10-90 (e.g., 9 × 80, 5 × 60) using strategies based on place value and properties of operations."
Mathematics,3.NF.1,3,3,3,Number and Operations-Fractions,,,"Cluster:
Develop understanding of fractions as numbers.

Standard:
Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b.

Footnote:
Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8."
Mathematics,3.NF.2.a,3,3,3,Number and Operations-Fractions,,,"Cluster:
Develop understanding of fractions as numbers.

Standard:
Understand a fraction as a number on the number line; represent fractions on a number line diagram. Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the number line."
Mathematics,3.NF.2.b,3,3,3,Number and Operations-Fractions,,,"Cluster:
Develop understanding of fractions as numbers.

Standard:
Understand a fraction as a number on the number line; represent fractions on a number line diagram. Represent a fraction a/b on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line."
Mathematics,3.NF.3.a,3,3,3,Number and Operations-Fractions,,,"Cluster:
Develop understanding of fractions as numbers.

Standard:
Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size. Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line."
Mathematics,3.NF.3.b,3,3,3,Number and Operations-Fractions,,,"Cluster:
Develop understanding of fractions as numbers.

Standard:
Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size. Recognize and generate simple equivalent fractions, e.g., 1/2 = 2/4, 4/6 = 2/3). Explain why the fractions are equivalent, e.g., by using a visual fraction model."
Mathematics,3.NF.3.c,3,3,3,Number and Operations-Fractions,,,"Cluster:
Develop understanding of fractions as numbers.

Standard:
Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size. Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers. Examples: Express 3 in the form 3 = 3/1; recognize that 6/1 = 6; locate 4/4 and 1 at the same point of a number line diagram."
Mathematics,3.NF.3.d,3,3,3,Number and Operations-Fractions,,,"Cluster:
Develop understanding of fractions as numbers.

Standard:
Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size. Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model."
Mathematics,3.OA.1,3,3,3,Operations and Algebraic Thinking,,,"Cluster:
Represent and solve problems involving multiplication and division.

Standard:
Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 × 7."
Mathematics,3.OA.2,3,3,3,Operations and Algebraic Thinking,,,"Cluster:
Represent and solve problems involving multiplication and division.

Standard:
Interpret whole-number quotients of whole numbers, e.g., interpret 56 ÷ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each. For example, describe a context in which a number of shares or a number of groups can be expressed as 56÷8."
