Content Area,Standard Identifier,Grade Range,Min Grade,Max Grade,Content Area,Overarching Content Standard,Description
Health Education,K.1.7.S,Kindergarten,0,0,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Recognize the characteristics of bullying."
Health Education,K.1.8.S,Kindergarten,0,0,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Identify ways to stay safe when crossing streets, riding a bicycle, or playing."
Health Education,K.1.9.S,Kindergarten,0,0,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Recognize that anything may be poisonous or cause harm if used unsafely."
Health Education,K.2.1.M,Kindergarten,0,0,"Mental, Emotional, and Social Health",2: Analyzing Influences,"Standard:
Identify ways family and friends help promote well-being."
Health Education,K.2.1.N,Kindergarten,0,0,Nutrition and Physical Activity,2: Analyzing Influences,"Standard:
Recognize that not all products advertised or sold are good for them."
Health Education,K.3.1.M,Kindergarten,0,0,"Mental, Emotional, and Social Health",3: Accessing Valid Health Information,"Standard:
Identify trusted adults at home and at school who can help with mental and emotional health concerns."
Health Education,K.3.1.P,Kindergarten,0,0,Personal and Community Health,3: Accessing Valid Health Information,"Standard:
Identify health care workers who can help promote healthy practices."
Health Education,K.3.1.S,Kindergarten,0,0,"Injury, Prevention, and Safety",3: Accessing Valid Health Information,"Standard:
Identify trusted adults who can help in emergency situations."
Health Education,K.4.1.M,Kindergarten,0,0,"Mental, Emotional, and Social Health",4: Interpersonal Communication,"Standard:
Show how to express personal needs and wants appropriately."
Health Education,K.4.1.N,Kindergarten,0,0,Nutrition and Physical Activity,4: Interpersonal Communication,"Standard:
Explain how to ask family members for healthy food options."
Health Education,K.4.1.P,Kindergarten,0,0,Personal and Community Health,4: Interpersonal Communication,"Standard:
Demonstrate how to ask for assistance with a health-related problem."
Health Education,K.4.1.S,Kindergarten,0,0,"Injury, Prevention, and Safety",4: Interpersonal Communication,"Standard:
Demonstrate how to ask a trusted adult for help or call 9-1-1."
Health Education,K.4.2.M,Kindergarten,0,0,"Mental, Emotional, and Social Health",4: Interpersonal Communication,"Standard:
Cooperate and share with others."
Health Education,K.4.2.S,Kindergarten,0,0,"Injury, Prevention, and Safety",4: Interpersonal Communication,"Standard:
Show how to answer the phone in a safe way."
Health Education,K.5.1.N,Kindergarten,0,0,Nutrition and Physical Activity,5: Decision Making,"Standard:
Describe ways to participate regularly in active play and enjoyable physical activities."
Health Education,K.5.1.S,Kindergarten,0,0,"Injury, Prevention, and Safety",5: Decision Making,"Standard:
Identify situations when it is necessary to seek adult help or call 9-1-1."
Health Education,K.5.2.S,Kindergarten,0,0,"Injury, Prevention, and Safety",5: Decision Making,"Standard:
Role-play what to do if a stranger at home, in a car, or on the street approaches you."
Health Education,K.6.1.M,Kindergarten,0,0,"Mental, Emotional, and Social Health",6: Goal Setting,"Standard:
Make a plan to help family members at home."
Health Education,K.7.1.M,Kindergarten,0,0,"Mental, Emotional, and Social Health",7: Practicing Health-Enhancing Behaviors,"Standard:
Express emotions appropriately."
Health Education,K.7.1.N,Kindergarten,0,0,Nutrition and Physical Activity,7: Practicing Health-Enhancing Behaviors,"Standard:
Select nutritious snacks."
Health Education,K.7.1.P,Kindergarten,0,0,Personal and Community Health,7: Practicing Health-Enhancing Behaviors,"Standard:
Show effective dental and personal hygiene practices."
Health Education,K.7.1.S,Kindergarten,0,0,"Injury, Prevention, and Safety",7: Practicing Health-Enhancing Behaviors,"Standard:
Follow rules for safe play and safety routines."
Health Education,K.7.2.M,Kindergarten,0,0,"Mental, Emotional, and Social Health",7: Practicing Health-Enhancing Behaviors,"Standard:
Describe positive ways to show care, consideration, and concern for others."
Health Education,K.7.2.N,Kindergarten,0,0,Nutrition and Physical Activity,7: Practicing Health-Enhancing Behaviors,"Standard:
Plan a nutritious breakfast."
Health Education,K.7.2.P,Kindergarten,0,0,Personal and Community Health,7: Practicing Health-Enhancing Behaviors,"Standard:
Demonstrate ways to prevent the transmission of germs (e.g., washing hands, using tissues)."
Health Education,K.7.2.S,Kindergarten,0,0,"Injury, Prevention, and Safety",7: Practicing Health-Enhancing Behaviors,"Standard:
Show how to cross the street safely."
Health Education,K.8.1.M,Kindergarten,0,0,"Mental, Emotional, and Social Health",8: Health Promotion,"Standard:
Encourage others when they engage in safe and healthy behaviors."
Health Education,K.8.1.S,Kindergarten,0,0,"Injury, Prevention, and Safety",8: Health Promotion,"Standard:
Show how to tell a trusted adult when you or a friend find a weapon.[3]

Footnote:
[3] EC Section 49330."
Health Education,K7.3.N,Kindergarten,0,0,Nutrition and Physical Activity,7: Practicing Health-Enhancing Behaviors,"Standard:
Choose healthy foods in a variety of settings."
Health Education,1.1.1.G,Grade 1,1,1,Growth and Development,1: Essential Concepts,"Standard:
Describe how living things grow and mature."
Health Education,1.1.1.P,Grade 1,1,1,Personal and Community Health,1: Essential Concepts,"Standard:
Explain the importance of effective dental and personal hygiene practices."
Health Education,1.1.1.S,Grade 1,1,1,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Describe characteristics of safe and unsafe places."
Health Education,1.1.10.S,Grade 1,1,1,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Identify ways to reduce risk of injuries while traveling in an automobile or bus (e.g., wearing a safety belt)."
Health Education,1.1.11.S,Grade 1,1,1,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Demonstrate proper lifting and carrying techniques for handling heavy backpacks and book bags."
Health Education,1.1.12.S,Grade 1,1,1,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Define simple conflict resolution techniques."
Health Education,1.1.13.S,Grade 1,1,1,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Identify refusal skills when in personal-safety situations (e.g., use a clear ""no"" statement, walk or run away, change subject, delay)."
Health Education,1.1.2.G,Grade 1,1,1,Growth and Development,1: Essential Concepts,"Standard:
Identify anatomical names of major internal and external body parts."
Health Education,1.1.2.P,Grade 1,1,1,Personal and Community Health,1: Essential Concepts,"Standard:
Identify the importance of sun safety."
Health Education,1.1.2.S,Grade 1,1,1,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Identify labels of products that give information about cautions and dangers."
Health Education,1.1.3.G,Grade 1,1,1,Growth and Development,1: Essential Concepts,"Standard:
Identify a variety of behaviors that promote healthy growth and development."
Health Education,1.1.3.P,Grade 1,1,1,Personal and Community Health,1: Essential Concepts,"Standard:
Discuss the importance of preventing the transmission of germs."
Health Education,1.1.3.S,Grade 1,1,1,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Discuss the meaning of basic safety-related signs, symbols, and warning labels."
Health Education,1.1.4.G,Grade 1,1,1,Growth and Development,1: Essential Concepts,"Standard:
Describe how members of a family have various roles, responsibilities, and individual needs."
Health Education,1.1.4.P,Grade 1,1,1,Personal and Community Health,1: Essential Concepts,"Standard:
Identify ways to prevent the transmission of communicable diseases."
Health Education,1.1.4.S,Grade 1,1,1,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Identify safety hazards in the home, at school, and in the community."
Health Education,1.1.5.P,Grade 1,1,1,Personal and Community Health,1: Essential Concepts,"Standard:
Describe symptoms of some common health problems and illnesses, including chronic diseases (e.g., asthma, allergies, diabetes, influenza)."
Health Education,1.1.5.S,Grade 1,1,1,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Identify ways to reduce risk of injuries at home, at school, and in the community."
Health Education,1.1.6.P,Grade 1,1,1,Personal and Community Health,1: Essential Concepts,"Standard:
Explain the difference between communicable diseases and non- communicable diseases."
Health Education,1.1.6.S,Grade 1,1,1,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Explain the importance of telling an adult if someone is in danger or being bullied."
Health Education,1.1.7.P,Grade 1,1,1,Personal and Community Health,1: Essential Concepts,"Standard:
Discuss how individual behavior affects the environment and community."
Health Education,1.1.7.S,Grade 1,1,1,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Distinguish between appropriate and inappropriate touching."
Health Education,1.1.8.P,Grade 1,1,1,Personal and Community Health,1: Essential Concepts,"Standard:
Identify materials that can be reduced, reused, or recycled."
Health Education,1.1.8.S,Grade 1,1,1,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Explain why the back seat is the safest place for young people to be when riding in a vehicle equipped with air bags."
Health Education,1.1.9.P,Grade 1,1,1,Personal and Community Health,1: Essential Concepts,"Standard:
Identify emergency situations (e.g., injuries, abductions, fires, floods, earthquakes)."
Health Education,1.1.9.S,Grade 1,1,1,"Injury, Prevention, and Safety",1: Essential Concepts,"Standard:
Define and explain the dangers of weapons and the importance of telling a trusted adult if you see or hear about someone having a weapon.[1]

Footnote:
[1] See Education Code (EC) Section 49330 and the Glossary for the legal definition of a weapon."
Health Education,1.2.1.G,Grade 1,1,1,Growth and Development,2: Analyzing Influences,"Standard:
Explain why sleep and rest are important for proper growth and good health."
Health Education,1.2.1.P,Grade 1,1,1,Personal and Community Health,2: Analyzing Influences,"Standard:
Explain how family and friends influence positive health practices."
Health Education,1.2.1.S,Grade 1,1,1,"Injury, Prevention, and Safety",2: Analyzing Influences,"Standard:
Describe internal and external influences that could lead to or prevent injury or violence."
Health Education,1.3.1.G,Grade 1,1,1,Growth and Development,3: Accessing Valid Health Information,"Standard:
Recognize parents, guardians, and other trusted adults as resources for information about growth and development."
Health Education,1.3.1.P,Grade 1,1,1,Personal and Community Health,3: Accessing Valid Health Information,"Standard:
Identify individuals in the school and in the community who promote health."
Health Education,1.3.1.S,Grade 1,1,1,"Injury, Prevention, and Safety",3: Accessing Valid Health Information,"Standard:
List people to go to for help if feeling unsafe or threatened."
Health Education,1.3.2.P,Grade 1,1,1,Personal and Community Health,3: Accessing Valid Health Information,"Standard:
Explain why parents or guardians keep a health record for their child."
Health Education,1.4.1.P,Grade 1,1,1,Personal and Community Health,4: Interpersonal Communication,"Standard:
Demonstrate effective communication skills when asking for assistance with health-related problems."
Health Education,1.4.1.S,Grade 1,1,1,"Injury, Prevention, and Safety",4: Interpersonal Communication,"Standard:
Describe how to report dangerous situations."
Health Education,1.4.2.P,Grade 1,1,1,Personal and Community Health,4: Interpersonal Communication,"Standard:
Demonstrate effective communication skills in an emergency situation."
Health Education,1.4.2.S,Grade 1,1,1,"Injury, Prevention, and Safety",4: Interpersonal Communication,"Standard:
Identify ways to report inappropriate touching."
Health Education,1.5.1.P,Grade 1,1,1,Personal and Community Health,5: Decision Making,"Standard:
Use a decision-making process to evaluate how personal hygiene behaviors promote one's health."
Health Education,1.5.1.S,Grade 1,1,1,"Injury, Prevention, and Safety",5: Decision Making,"Standard:
Analyze steps to take in emergency or potentially dangerous situations."
Health Education,1.5.2.S,Grade 1,1,1,"Injury, Prevention, and Safety",5: Decision Making,"Standard:
Identify the benefits of using nonviolent means to resolve conflicts."
Health Education,1.5.3.S,Grade 1,1,1,"Injury, Prevention, and Safety",5: Decision Making,"Standard:
Assess reasons for reporting weapons possession.[2]

Footnote:
[2] EC Section 49330."
Health Education,1.5.4.S,Grade 1,1,1,"Injury, Prevention, and Safety",5: Decision Making,"Standard:
Analyze why wearing a helmet when biking, skateboarding, or in-line skating increases safety."
Health Education,1.6.1.P,Grade 1,1,1,Personal and Community Health,6: Goal Setting,"Standard:
Make a plan to practice dental and personal hygiene."
Health Education,1.7.1.P,Grade 1,1,1,Personal and Community Health,7: Practicing Health-Enhancing Behaviors,"Standard:
Demonstrate proper tooth brushing and flossing techniques."
Health Education,1.7.1.S,Grade 1,1,1,"Injury, Prevention, and Safety",7: Practicing Health-Enhancing Behaviors,"Standard:
Practice ways to stay safe at home, at school, and in the community."
Health Education,1.7.2.P,Grade 1,1,1,Personal and Community Health,7: Practicing Health-Enhancing Behaviors,"Standard:
Demonstrate techniques for preventing disease transmission (e.g., covering sneezes and coughs, frequent hand washing)."
Health Education,1.7.2.S,Grade 1,1,1,"Injury, Prevention, and Safety",7: Practicing Health-Enhancing Behaviors,"Standard:
Practice emergency, fire, and safety plans at home and at school."
Health Education,1.7.3.P,Grade 1,1,1,Personal and Community Health,7: Practicing Health-Enhancing Behaviors,"Standard:
Demonstrate proper ways of protecting oneself from the sun and ways to select and apply sunscreen."
Health Education,1.7.3.S,Grade 1,1,1,"Injury, Prevention, and Safety",7: Practicing Health-Enhancing Behaviors,"Standard:
Explain appropriate protective gear and equipment."
Health Education,1.7.4.P,Grade 1,1,1,Personal and Community Health,7: Practicing Health-Enhancing Behaviors,"Standard:
Demonstrate appropriate behaviors during fire drills, earthquake drills, and other disaster drills."
Health Education,1.8.1.P,Grade 1,1,1,Personal and Community Health,8: Health Promotion,"Standard:
Educate family and peers to protect against skin damage from the sun."
Health Education,1.8.1.S,Grade 1,1,1,"Injury, Prevention, and Safety",8: Health Promotion,"Standard:
Encourage others to practice safe behaviors in the classroom and on the playground."
Health Education,1.8.2.P,Grade 1,1,1,Personal and Community Health,8: Health Promotion,"Standard:
Demonstrate the ability to support other students who have chronic diseases and conditions (e.g., asthma, allergies, diabetes, and epilepsy)."
Health Education,2.1.1.A,Grade 2,2,2,"Alcohol, Tobacco, and Other Drugs",1: Essential Concepts,"Standard:
Distinguish between helpful and harmful substances (including alcohol, tobacco, and other drugs)."
Health Education,2.1.1.M,Grade 2,2,2,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Describe a variety of emotions."
Health Education,2.1.1.N,Grade 2,2,2,Nutrition and Physical Activity,1: Essential Concepts,"Standard:
Classify various foods into appropriate food groups."
Health Education,2.1.10.M,Grade 2,2,2,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Describe how to work and play cooperatively."
Health Education,2.1.11.M,Grade 2,2,2,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Identify the positive ways that peers and family members show support, care, and appreciation for one another."
Health Education,2.1.12.M,Grade 2,2,2,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Describe the characteristics of a trusted friend and adult."
Health Education,2.1.2.A,Grade 2,2,2,"Alcohol, Tobacco, and Other Drugs",1: Essential Concepts,"Standard:
Explain why household products are harmful if ingested or inhaled."
Health Education,2.1.2.M,Grade 2,2,2,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Explain what it means to be emotionally or mentally healthy."
Health Education,2.1.2.N,Grade 2,2,2,Nutrition and Physical Activity,1: Essential Concepts,"Standard:
Identify the number of servings of food from each food group that a child needs daily."
Health Education,2.1.3.A,Grade 2,2,2,"Alcohol, Tobacco, and Other Drugs",1: Essential Concepts,"Standard:
Identify that a drug is a chemical that changes how the body and brain work."
Health Education,2.1.3.M,Grade 2,2,2,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Explain the importance of talking with parents or trusted adults about feelings."
Health Education,2.1.3.N,Grade 2,2,2,Nutrition and Physical Activity,1: Essential Concepts,"Standard:
Discuss the benefits of eating a nutritious breakfast every day."
Health Education,2.1.4.A,Grade 2,2,2,"Alcohol, Tobacco, and Other Drugs",1: Essential Concepts,"Standard:
Explain why it is dangerous to taste, swallow, sniff, or play with unknown substances."
Health Education,2.1.4.M,Grade 2,2,2,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Identify changes that occur within families."
Health Education,2.1.4.N,Grade 2,2,2,Nutrition and Physical Activity,1: Essential Concepts,"Standard:
List the benefits of healthy eating (including beverages and snacks)."
Health Education,2.1.5.A,Grade 2,2,2,"Alcohol, Tobacco, and Other Drugs",1: Essential Concepts,"Standard:
Explain why it is important to follow the medical recommendations for prescription and nonprescription medicines."
Health Education,2.1.5.M,Grade 2,2,2,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Identify characteristics of a responsible family member."
Health Education,2.1.5.N,Grade 2,2,2,Nutrition and Physical Activity,1: Essential Concepts,"Standard:
Describe the benefits of drinking water in amounts consistent with current research-based health guidelines."
Health Education,2.1.6.A,Grade 2,2,2,"Alcohol, Tobacco, and Other Drugs",1: Essential Concepts,"Standard:
Identify rules for taking medicine at school and at home."
Health Education,2.1.6.M,Grade 2,2,2,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Identify feelings and emotions associated with loss or grief."
Health Education,2.1.6.N,Grade 2,2,2,Nutrition and Physical Activity,1: Essential Concepts,"Standard:
Describe how to keep food safe from harmful germs."
Health Education,2.1.7.A,Grade 2,2,2,"Alcohol, Tobacco, and Other Drugs",1: Essential Concepts,"Standard:
Identify refusal skills when confronted or pressured to use alcohol, tobacco, or other drugs (e.g., use a clear ""no"" statement, walk or run away, change subject, delay)."
Health Education,2.1.7.M,Grade 2,2,2,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Discuss how to show respect for similarities and differences between and among individuals and groups."
Health Education,2.1.7.N,Grade 2,2,2,Nutrition and Physical Activity,1: Essential Concepts,"Standard:
Identify a variety of healthy snacks."
Health Education,2.1.8.M,Grade 2,2,2,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
List healthy ways to express affection, love, friendship, and concern."
Health Education,2.1.8.N,Grade 2,2,2,Nutrition and Physical Activity,1: Essential Concepts,"Standard:
Identify and explore opportunities outside of school for regular participation in physical activity."
Health Education,2.1.9.M,Grade 2,2,2,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Identify positive and negative ways of dealing with stress."
Health Education,2.1.9.N,Grade 2,2,2,Nutrition and Physical Activity,1: Essential Concepts,"Standard:
Explain how both physical activity and eating habits can affect a person's health."
Health Education,2.2.1.M,Grade 2,2,2,"Mental, Emotional, and Social Health",2: Analyzing Influences,"Standard:
Identify internal and external factors that influence mental, emotional, and social health."
Health Education,2.2.1.N,Grade 2,2,2,Nutrition and Physical Activity,2: Analyzing Influences,"Standard:
Discuss how family, friends, and media influence food choices."
Health Education,2.3.1.A,Grade 2,2,2,"Alcohol, Tobacco, and Other Drugs",3: Accessing Valid Health Information,"Standard:
Identify parents, guardians, and trusted adults who can provide accurate information and guidance regarding medicines."
Health Education,2.3.1.M,Grade 2,2,2,"Mental, Emotional, and Social Health",3: Accessing Valid Health Information,"Standard:
Discuss ways to obtain information from family, school personnel, health professionals, and other responsible adults."
Health Education,2.3.1.N,Grade 2,2,2,Nutrition and Physical Activity,3: Accessing Valid Health Information,"Standard:
Identify resources for reliable information about healthy foods."
Health Education,2.3.2.M,Grade 2,2,2,"Mental, Emotional, and Social Health",3: Accessing Valid Health Information,"Standard:
Identify people in the community who are caring, supportive, and trustworthy."
Health Education,2.4.1.A,Grade 2,2,2,"Alcohol, Tobacco, and Other Drugs",4: Interpersonal Communication,"Standard:
Demonstrate refusal skills to resist an offer to use drugs or inappropriate medicines."
Health Education,2.4.1.M,Grade 2,2,2,"Mental, Emotional, and Social Health",4: Interpersonal Communication,"Standard:
Identify and demonstrate ways to express needs and wants appropriately."
Health Education,2.4.1.N,Grade 2,2,2,Nutrition and Physical Activity,4: Interpersonal Communication,"Standard:
Demonstrate how to ask family members for healthy food options."
Health Education,2.4.2.A,Grade 2,2,2,"Alcohol, Tobacco, and Other Drugs",4: Interpersonal Communication,"Standard:
Demonstrate communication skills to alert an adult about unsafe situations involving drugs or medicines."
Health Education,2.4.2.M,Grade 2,2,2,"Mental, Emotional, and Social Health",4: Interpersonal Communication,"Standard:
Demonstrate how to ask for help from trusted adults or friends."
Health Education,2.5.1.A,Grade 2,2,2,"Alcohol, Tobacco, and Other Drugs",5: Decision Making,"Standard:
Evaluate why one person's medicines may not be safe for another person."
Health Education,2.5.1.M,Grade 2,2,2,"Mental, Emotional, and Social Health",5: Decision Making,"Standard:
Use a decision-making process for solving problems with peers and family members."
Health Education,2.5.1.N,Grade 2,2,2,Nutrition and Physical Activity,5: Decision Making,"Standard:
Use a decision-making process to select healthy foods."
Health Education,2.5.2.N,Grade 2,2,2,Nutrition and Physical Activity,5: Decision Making,"Standard:
Compare and contrast healthy and less-healthy food choices for a variety of settings."
Health Education,2.5.3.N,Grade 2,2,2,Nutrition and Physical Activity,5: Decision Making,"Standard:
Identify safe ways to increase physical activity."
Health Education,2.6.1.M,Grade 2,2,2,"Mental, Emotional, and Social Health",6: Goal Setting,"Standard:
Describe how to make a commitment to be a good friend."
Health Education,2.6.1.N,Grade 2,2,2,Nutrition and Physical Activity,6: Goal Setting,"Standard:
Set a short-term goal to choose healthy foods for snacks and meals."
Health Education,2.6.2.N,Grade 2,2,2,Nutrition and Physical Activity,6: Goal Setting,"Standard:
Set a short-term goal to participate daily in vigorous physical activity."
Health Education,2.7.1.M,Grade 2,2,2,"Mental, Emotional, and Social Health",7: Practicing Health-Enhancing Behaviors,"Standard:
Manage emotions appropriately in a variety of situations."
Health Education,2.7.1.N,Grade 2,2,2,Nutrition and Physical Activity,7: Practicing Health-Enhancing Behaviors,"Standard:
Examine the importance of eating a nutritious breakfast every day."
Health Education,2.7.2.M,Grade 2,2,2,"Mental, Emotional, and Social Health",7: Practicing Health-Enhancing Behaviors,"Standard:
Show respect for individual differences."
Health Education,2.7.2.N,Grade 2,2,2,Nutrition and Physical Activity,7: Practicing Health-Enhancing Behaviors,"Standard:
Plan a nutritious meal."
Health Education,2.7.3.N,Grade 2,2,2,Nutrition and Physical Activity,7: Practicing Health-Enhancing Behaviors,"Standard:
Select healthy beverages."
Health Education,2.7.4.N,Grade 2,2,2,Nutrition and Physical Activity,7: Practicing Health-Enhancing Behaviors,"Standard:
Examine the criteria for choosing a nutritious snack."
Health Education,2.7.5.N,Grade 2,2,2,Nutrition and Physical Activity,7: Practicing Health-Enhancing Behaviors,"Standard:
Participate in physical activities with friends and family."
Health Education,2.8.1.M,Grade 2,2,2,"Mental, Emotional, and Social Health",8: Health Promotion,"Standard:
Object appropriately to teasing of peers that is based on personal characteristics."
Health Education,2.8.1.N,Grade 2,2,2,Nutrition and Physical Activity,8: Health Promotion,"Standard:
Practice making healthy eating choices with friends and family."
Health Education,2.8.2.M,Grade 2,2,2,"Mental, Emotional, and Social Health",8: Health Promotion,"Standard:
Support peers in school and community activities."
Health Education,2.8.2.N,Grade 2,2,2,Nutrition and Physical Activity,8: Health Promotion,"Standard:
Explain to others what is enjoyable about physical activity."
Health Education,3.1.1.G,Grade 3,3,3,Growth and Development,1: Essential Concepts,"Standard:
Describe the cycle of birth, growth, aging, and death in living things."
Health Education,3.1.1.M,Grade 3,3,3,"Mental, Emotional, and Social Health",1: Essential Concepts,"Standard:
Describe examples of healthy social behaviors (e.g., helping others, being respectful of others, cooperation, consideration)."
