Content Area,Standard Identifier,Grade Range,Min Grade,Max Grade,Disciplinary Core Idea,Cross Cutting Concept,Science & Engineering Practice,Content Area,Description
Science (CA NGSS),3-LS4-3,3,3,3,LS4.C: Adaptation,CCC-2: Cause and Effect: Mechanism and Explanation,SEP-7: Engaging in Argument From Science,Life Science,"Title: 3-LS4 Biological Evolution: Unity and Diversity

Performance Expectation:  Construct an argument with evidence that in a particular habitat some organisms can survive well, some survive less well, and some cannot survive at all.  [Clarification Statement: Examples of evidence could include needs and characteristics of the organisms and habitats involved. The organisms and their habitat make up a system in which the parts depend on each other.] 

Disciplinary Core Idea(s):
LS4.C: Adaptation
For any particular environment, some kinds of organisms survive well, some survive less well, and some cannot survive at all.

Science & Engineering Practices: Engaging in Argument from Evidence
Construct an argument with evidence.

Crosscutting Concepts: Cause and Effect
Cause and effect relationships are routinely identified and used to explain change.

California Environmental Principles and Concepts:
Principle II
The long-term functioning and health of terrestrial, freshwater, coastal, and marine ecosystems are influenced by their relationships with human societies.

California Common Core State Standards Connections:
ELA/Literacy
RI.3.1.a-d: Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.  
RI.3.2.a-d: Determine the main idea of a text; recount the key details and explain how they support the main idea. 
RI.3.3:  Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.
W.3.1:  Write opinion pieces on topics or texts, supporting a point of view with reasons. 
W.3.2: Write informative/explanatory texts to examine a topic and convey ideas and information clearly. 
SL.3.4: Report on a topic or text, tell a story, or recount an experience with appropriate facts and relevant, descriptive details, speaking clearly at an understandable pace.
a. Plan and deliver an informative/explanatory presentation on a topic that: organizes ideas around major points of information, follows a logical sequence, includes supporting details, uses clear and specific vocabulary, and provides a strong conclusion.

Mathematics
MP.2: Reason abstractly and quantitatively.
MP.4: Model with mathematics.
3.MD.3: Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step ""how many more"" and ""how many less"" problems using information presented in scaled bar graphs. For example, draw a bar graph in which each square in the bar graph might represent 5 pets.

DCI Connections:
Connections to other DCIs in third grade: 3.ESS2.D

Articulation across grade-levels: K.ESS3.A; 2.LS2.A; 2.LS4.D; MS.LS2.A; MS.LS4.B; MS.LS4.C; MS.ESS1.C"
Science (CA NGSS),3-LS4-4,3,3,3,LS4.D: Biodiversity and Humans,CCC-4: Systems and Systems Models,SEP-7: Engaging in Argument From Science,Life Science,"Title: 3-LS4 Biological Evolution: Unity and Diversity

Performance Expectation: Make a claim about the merit of a solution to a problem caused when the environment changes and the types of plants and animals that live there may change.*  [Clarification Statement: Examples of environmental changes could include changes in land characteristics, water distribution, temperature, food, and other organisms.] [Assessment Boundary: Assessment is limited to a single environmental change. Assessment does not include the greenhouse effect or climate change.]

Disciplinary Core Idea(s):
LS4.D: Biodiversity and Humans
Populations live in a variety of habitats, and change in those habitats affects the organisms living there.

Science & Engineering Practices: Engaging in Argument from Evidence
Make a claim about the merit of a solution to a problem by citing relevant evidence about how it meets the criteria and constraints of the problem.

Crosscutting Concepts: Systems and System Models
A system can be described in terms of its components and their interactions.

Connections to Engineering, Technology, and Applications of Science:

Interdependence of Science, Engineering, and Technology
Knowledge of relevant scientific concepts and research findings is important in engineering.

California Environmental Principles and Concepts:
Principle II
The long-term functioning and health of terrestrial, freshwater, coastal, and marine ecosystems are influenced by their relationships with human societies.

California Common Core State Standards Connections:
ELA/Literacy
RI.3.1.a-d: Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.
RI.3.2.a-d: Determine the main idea of a text; recount the key details and explain how they support the main idea. 
RI.3.3:  Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.
W.3.1:  Write opinion pieces on topics or texts, supporting a point of view with reasons. 
W.3.2: Write informative/explanatory texts to examine a topic and convey ideas and information clearly. 
SL.3.4: Report on a topic or text, tell a story, or recount an experience with appropriate facts and relevant, descriptive details, speaking clearly at an understandable pace.
 a. Plan and deliver an informative/explanatory presentation on a topic that: organizes ideas around major points of information, follows a logical sequence, includes supporting details, uses clear and specific vocabulary, and provides a strong conclusion.
              
Mathematics
MP.2: Reason abstractly and quantitatively. 
MP.4: Model with mathematics.

DCI Connections:
Connections to other DCIs in third grade: 3.ESS3.B

Articulation across grade-levels: K.ESS3.A; K.ETS1.A; 2.LS2.A; 2.LS4.D; 4.ESS3.B; 4.ETS1.A; MS.LS2.A; MS.LS2.C; MS.LS4.C; MS.ESS1.C; MS.ESS3.C"
Science (CA NGSS),3-PS2-1,3,3,3,"PS2.A: Forces and Motion, PS2.B: Types of Interactions",CCC-2: Cause and Effect: Mechanism and Explanation,SEP-3: Planning and Carrying Out Investigations,Physical Science,"Title: 3-PS2 Motion and Stability: Forces and Interactions

Performance Expectation: Plan and conduct an investigation to provide evidence of the effects of balanced and unbalanced forces on the motion of an object.  [Clarification Statement: Examples could include an unbalanced force on one side of a ball can make it start moving; and, balanced forces pushing on a box from both sides will not produce any motion at all.] [Assessment Boundary: Assessment is limited to one variable at a time: number, size, or direction of forces. Assessment does not include quantitative force size, only qualitative and relative. Assessment is limited to gravity being addressed as a force that pulls objects down.]

Disciplinary Core Idea(s):
PS2.A: Forces and Motion
Each force acts on one particular object and has both strength and a direction. An object at rest typically has multiple forces acting on it, but they add to give zero net force on the object. Forces that do not sum to zero can cause changes in the object's speed or direction of motion. (Boundary: Qualitative and conceptual, but not quantitative addition of forces are used at this level.)

PS2.B: Types of Interactions 
Objects in contact exert forces on each other.

Science & Engineering Practices: Planning and Carrying Out Investigations
Plan and conduct an investigation collaboratively to produce data to serve as the basis for evidence, using fair tests in which variables are controlled and the number of trials considered.

Connections to Nature of Science:

Scientific Investigations Use a Variety of Methods 
Science investigations use a variety of methods, tools, and techniques.

Crosscutting Concepts: Cause and Effect
Cause and effect relationships are routinely identified.

California Environmental Principles and Concepts:
N/A

California Common Core State Standards Connections:
ELA/Literacy
RI.3.1: Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers. 
W.3.7: Conduct short research projects that build knowledge about a topic.
W.3.8: Recall information from experiences or gather information from print and digital sources; take brief notes on sources and sort evidence into provided categories.  

Mathematics
MP.2: Reason abstractly and quantitatively.
MP.5: Use appropriate tools strategically. 
3.MD.2: Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l).  Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.

DCI Connections:
Connections to other DCIs in third grade: N/A

Articulation across grade-levels: K.PS2.A; K.PS2.B; K.PS3.C; 5.PS2.B; MS.PS2.A; MS.ESS1.B; MS.ESS2.C"
Science (CA NGSS),3-PS2-2,3,3,3,PS2.A: Forces and Motion,CCC-1: Patterns,SEP-3: Planning and Carrying Out Investigations,Physical Science,"Title: 3-PS2 Motion and Stability: Forces and Interactions

Performance Expectation: Make observations and/or measurements of an object's motion to provide evidence that a pattern can be used to predict future motion.  [Clarification Statement: Examples of motion with a predictable pattern could include a child swinging in a swing, a ball rolling back and forth in a bowl, and two children on a see-saw.] [Assessment Boundary: Assessment does not include technical terms such as period and frequency.]

Disciplinary Core Idea(s):
PS2.A: Forces and Motion
The patterns of an object's motion in various situations can be observed and measured; when that past motion exhibits a regular pattern, future motion can be predicted from it. (Boundary: Technical terms, such as magnitude, velocity, momentum, and vector quantity, are not introduced at this level, but the concept that some quantities need both size and direction to be described is developed.)

Science & Engineering Practices: Planning and Carrying Out Investigations
Make observations and/or measurements to produce data to serve as the basis for evidence for an explanation of a phenomenon or test a design solution.

Connections to Nature of Science:

Science Knowledge is Based on Empirical Evidence
Science findings are based on recognizing patterns.

Crosscutting Concepts: Patterns
Patterns of change can be used to make predictions.

California Environmental Principles and Concepts:
N/A

California Common Core State Standards Connections:
ELA/Literacy
W.3.7: Conduct short research projects that build knowledge about a topic.
W.3.8: Recall information from experiences or gather information from print and digital sources; take brief notes on sources and sort evidence into provided categories.

DCI Connections:
Connections to other DCIs in third grade: N/A

Articulation across grade-levels: 1.ESS1.A; 4.PS4.A; MS.PS2.A; MS.ESS1.B"
Science (CA NGSS),3-PS2-3,3,3,3,PS2.B: Types of Interactions,CCC-1: Patterns,SEP-1: Asking Questions and Defining Problems,Physical Science,"Title: 3-PS2 Motion and Stability: Forces and Interactions

Performance Expectation: Ask questions to determine cause and effect relationships of electric or magnetic interactions between two objects not in contact with each other.  [Clarification Statement: Examples of an electric force could include the force on hair from an electrically charged balloon and the electrical forces between a charged rod and pieces of paper; examples of a magnetic force could include the force between two permanent magnets, the force between an electromagnet and steel paperclips, and the force exerted by one magnet versus the force exerted by two magnets. Examples of cause and effect relationships could include how the distance between objects affects strength of the force and how the orientation of magnets affects the direction of the magnetic force.] [Assessment Boundary: Assessment is limited to forces produced by objects that can be manipulated by students, and electrical interactions are limited to static electricity.]

Disciplinary Core Idea(s):
PS2.B: Types of Interactions 
Electric, and magnetic forces between a pair of objects do not require that the objects be in contact. The sizes of the forces in each situation depend on the properties of the objects and their distances apart and, for forces between two magnets, on their orientation relative to each other.

Science & Engineering Practices: Asking Questions and Defining Problems
Ask questions that can be investigated based on patterns such as cause and effect relationships.

Crosscutting Concepts: Cause and Effect
Cause and effect relationships are routinely identified, tested, and used to explain change.

California Environmental Principles and Concepts:
N/A

California Common Core State Standards Connections:
ELA/Literacy
RI.3.1: Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers. 
RI.3.3: Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.
RI.3.8: Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence).
SL.3.3: Ask and answer questions about information from a speaker, offering appropriate elaboration and detail.

DCI Connections:
Connections to other DCIs in third grade: N/A

Articulation across grade-levels: MS.PS2.B"
Science (CA NGSS),3-PS2-4,3,3,3,PS2.B: Types of Interactions,,SEP-1: Asking Questions and Defining Problems,Physical Science,"Title: 3-PS2 Motion and Stability: Forces and Interactions

Performance Expectation: Define a simple design problem that can be solved by applying scientific ideas about magnets.*  [Clarification Statement: Examples of problems could include constructing a latch to keep a door shut and creating a device to keep two moving objects from touching each other.]

Disciplinary Core Idea(s):
PS2.B: Types of Interactions 
Electric, and magnetic forces between a pair of objects do not require that the objects be in contact. The sizes of the forces in each situation depend on the properties of the objects and their distances apart and, for forces between two magnets, on their orientation relative to each other.

Science & Engineering Practices: Asking Questions and Defining Problems
Define a simple problem that can be solved through the development of a new or improved object or tool.

Crosscutting Concepts: Connections to Engineering, Technology, and Applications of Science:

Interdependence of Science, Engineering, and Technology
Scientific discoveries about the natural world can often lead to new and improved technologies, which are developed through the Engineering, Technology, and Applications of Science process.

California Environmental Principles and Concepts:
N/A

California Common Core State Standards Connections:
N/A

DCI Connections:
Connections to other DCIs in third grade: N/A

Articulation across grade-levels: K.ETS1.A; 4.ETS1.A; MS.PS2.B"
Science (CA NGSS),3-5-ETS1-1,4,4,4,ETS1.A: Defining and Delimiting Engineering Problems,,SEP-1: Asking Questions and Defining Problems,"Engineering, Technology, and Applications of Science","Title: 3-5-ETS1 Engineering, Technology, and Applications of Science

Performance Expectation: Define a simple design problem reflecting a need or a want that includes specified criteria for success and constraints on materials, time, or cost. 

Disciplinary Core Idea(s):
ETS1.A: Defining and Delimiting Engineering Problems
Possible solutions to a problem are limited by available materials and resources (constraints). The success of a designed solution is determined by considering the desired features of a solution (criteria). Different proposals for solutions can be compared on the basis of how well each one meets the specified criteria for success or how well each takes the constraints into account.

Science & Engineering Practices: Asking Questions and Defining Problems 
Define a simple design problem that can be solved through the development of an object, tool, process, or system and includes several criteria for success and constraints on materials, time, or cost.

Crosscutting Concepts: Influence of Engineering, Technology, and Science on Society and the Natural World
People's needs and wants change over time, as do their demands for new and improved technologies.

California Environmental Principles and Concepts:
Principle V
Decisions affecting resources and natural systems are based on a wide range of considerations and decision-making processes.

California Common Core State Standards Connections:
ELA/Literacy
W.5.7:  Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.
W.5.8:  Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources. 
W.5.9.a-b: Draw evidence from literary or informational texts to support analysis, reflection, and research.

Mathematics
MP.2: Reason abstractly and quantitatively. 
MP.4: Model with mathematics. 
MP.5: Use appropriate tools strategically. 
3.OA.1-4: Represent and solve problems involving multiplication and division. 
3.OA.5-6: Understand properties of multiplication and the relationship between multiplication and division. 
3.OA.7: Multiply and divide within 100. 
3.OA.8-9: Solve problems involving the four operations, and identify and explain patterns in arithmetic. 
4.OA.1-3: Use the four operations with whole numbers to solve problems.  
4.OA.4: Gain familiarity with factors and multiples. 
4.OA.5: Generate and analyze patterns. 
5.OA.1-2.1: Write and interpret numerical expressions. 
5.OA.3: Analyze patterns and relationships.

DCI Connections:
Connections to 3-5-ETS1.A: Defining and Delimiting Engineering Problems include:
Fourth Grade: 4-PS3-4


Articulation across grade-bands: K-2.ETS1.A; MS.ETS1.A; MS.ETS1.B"
Science (CA NGSS),3-5-ETS1-2,4,4,4,ETS1.B: Developing Possible Solutions,,SEP-6: Constructing Explanations and Designing Solutions,"Engineering, Technology, and Applications of Science","Title: 3-5-ETS1 Engineering, Technology, and Applications of Science

Performance Expectation: Generate and compare multiple possible solutions to a problem based on how well each is likely to meet the criteria and constraints of the problem. 

Disciplinary Core Idea(s):
ETS1.B: Developing Possible Solutions
Research on a problem should be carried out before beginning to design a solution.  Testing a solution involves investigating how well it performs under a range of likely conditions.  At whatever stage, communicating with peers about proposed solutions is an important part of the design process, and shared ideas can lead to improved designs.

Science & Engineering Practices: Constructing Explanations and Designing Solutions 
Generate and compare multiple solutions to a problem based on how well they meet the criteria and constraints of the design problem.

Crosscutting Concepts: Influence of Engineering, Technology, and Science on Society and the Natural World
Engineers improve existing technologies or develop new ones to increase their benefits, decrease known risks, and meet societal demands.

California Environmental Principles and Concepts:
Principle V
Decisions affecting resources and natural systems are based on a wide range of considerations and decision-making processes.

California Common Core State Standards Connections:
ELA/Literacy
RI.5.1: Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.
RI.5.7: Draw on information from multiple print or digital sources, demonstrating the ability to locate an answer to a question quickly or to solve a problem efficiently.
RI.5.9:  Integrate information from several texts on the same topic in order to write or speak about the subject knowledgeably.

Mathematics
MP.2: Reason abstractly and quantitatively. 
MP.4: Model with mathematics. 
MP.5: Use appropriate tools strategically. 
3.OA.1-4: Represent and solve problems involving multiplication and division. 
3.OA.5-6: Understand properties of multiplication and the relationship between multiplication and division. 
3.OA.7: Multiply and divide within 100. 
3.OA.8-9: Solve problems involving the four operations, and identify and explain patterns in arithmetic. 
4.OA.1-3: Use the four operations with whole numbers to solve problems.  
4.OA.4: Gain familiarity with factors and multiples. 
4.OA.5: Generate and analyze patterns. 
5.OA.1-2.1: Write and interpret numerical expressions. 
5.OA.3: Analyze patterns and relationships.

DCI Connections:
Connections to 3-5-ETS1.B: Developing Possible Solutions Problems include:
Fourth Grade: 4-ESS3-2

Articulation across grade-bands: K-2.ETS1.A; K-2.ETS1.B; K-2.ETS1.C; MS.ETS1.B; MS.ETS1.C"
Science (CA NGSS),3-5-ETS1-3,4,4,4,"ETS1.B: Developing Possible Solutions, ETS1.C: Optimizing the Design Solution",,SEP-3: Planning and Carrying Out Investigations,"Engineering, Technology, and Applications of Science","Title: 3-5-ETS1 Engineering, Technology, and Applications of Science

Performance Expectation: Plan and carry out fair tests in which variables are controlled and failure points are considered to identify aspects of a model or prototype that can be improved.

Disciplinary Core Idea(s):
ETS1.B: Developing Possible Solutions
Tests are often designed to identify failure points or difficulties, which suggest the elements of the design that need to be improved.

ETS1.C: Optimizing the Design Solution
Different solutions need to be tested in order to determine which of them best solves the problem, given the criteria and the constraints.

Science & Engineering Practices: Planning and Carrying Out Investigations 
Plan and conduct an investigation collaboratively to produce data to serve as the basis for evidence, using fair tests in which variables are controlled and the number of trials considered.

Crosscutting Concepts: N/A

California Environmental Principles and Concepts:
Principle V
Decisions affecting resources and natural systems are based on a wide range of considerations and decision-making processes.

California Common Core State Standards Connections:
ELA/Literacy
W.5.7: Conduct short research projects that use several sources to build knowledge through investigation of different aspects of a topic.
W.5.8: Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources. 
W.5.9.a-b Draw evidence from literary or informational texts to support analysis, reflection, and research.   

Mathematics
MP.2: Reason abstractly and quantitatively.
MP.4: Model with mathematics. 
MP.5: Use appropriate tools strategically.

DCI Connections:
Connections to 3-5-ETS1.B: Developing Possible Solutions Problems include:
Fourth Grade: 4-ESS3-2

Connections to K-2-ETS1.C: Optimizing the Design Solution include:
Fourth Grade: 4-PS4-3

Articulation across grade-bands: K-2.ETS1.A; K-2.ETS1.C; MS.ETS1.B; MS.ETS1.C"
Science (CA NGSS),4-ESS1-1,4,4,4,ESS1.C: The History of Planet Earth,CCC-1: Patterns,SEP-6: Constructing Explanations and Designing Solutions,Earth and Space Science,"Title: 4-ESS1 Earth's Place in the Universe

Performance Expectation: Identify evidence from patterns in rock formations and fossils in rock layers to support an explanation for changes in a landscape over time.  [Clarification Statement: Examples of evidence from patterns could include rock layers with marine shell fossils above rock layers with plant fossils and no shells, indicating a change from land to water over time.] [Assessment Boundary: Assessment does not include specific knowledge of the mechanism of rock formation or memorization of specific rock formations and layers. Assessment is limited to relative time.]

Disciplinary Core Idea(s):
ESS1.C: The History of Planet Earth
Local, regional, and global patterns of rock formations reveal changes over time due to earth forces, such as earthquakes. The presence and location of certain fossil types indicate the order in which rock layers were formed.

Science & Engineering Practices: Constructing Explanations and Designing Solutions
Identify the evidence that supports particular points in an explanation.

Crosscutting Concepts: Patterns
Patterns can be used as evidence to support an explanation.

Connections to Nature of Science:

Scientific Knowledge Assumes an Order and Consistency in Natural Systems
Science assumes consistent patterns in natural systems.

California Environmental Principles and Concepts:
N/A

California Common Core State Standards Connections:
ELA/Literacy
W.4.7: Conduct short research projects that build knowledge through investigation of different aspects of a topic.
W.4.8: Recall relevant information from experiences or gather relevant information from print and digital sources; take notes, paraphrase, and categorize information, and provide a list of sources.
W.4.9.a,b: Draw evidence from literary or informational texts to support analysis, reflection, and research. 

Mathematics
MP.2: Reason abstractly and quantitatively.
MP.4: Model with mathematics.
4.MD.1: Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit. Record measurement equivalents in a two-column table. For example, know that 1 ft is 12 times as long as 1 in. Express the length of a 4ft snake as 48 in. Generate a conversion table for feet and inches listing the number pairs (1,12), (2,24), (3,36),...

DCI Connections:
Connections to other DCIs in fourth grade: N/A

Articulation across grade-levels: 2.ESS1.C; 3.LS4.A; MS.LS4.A; MS.ESS1.C; MS.ESS2.A; MS.ESS2.B"
Science (CA NGSS),4-ESS2-1,4,4,4,"ESS2.A: Earth Materials and Systems, ETS1.C: Optimizing the Design Solution",CCC-2: Cause and Effect: Mechanism and Explanation,SEP-3: Planning and Carrying Out Investigations,Earth and Space Science,"Title: 4-ESS2 Earth's Systems

Performance Expectation:  Make observations and/or measurements to provide evidence of the effects of weathering or the rate of erosion by water, ice, wind, or vegetation.  [Clarification Statement: Examples of variables to test could include angle of slope in the downhill movement of water, amount of vegetation, speed of wind, relative rate of deposition, cycles of freezing and thawing of water, cycles of heating and cooling, and volume of water flow.] [Assessment Boundary: Assessment is limited to a single form of weathering or erosion.]

Disciplinary Core Idea(s):
ESS2.A: Earth Materials and Systems
Rainfall helps to shape the land and affects the types of living things found in a region. Water, ice, wind, living organisms, and gravity break rocks, soils, and sediments into smaller particles and move them around.

ESS2.E: Biogeology
Living things affect the physical characteristics of their regions.

Science & Engineering Practices: Planning and Carrying Out Investigations
Make observations and/or measurements to produce data to serve as the basis for evidence for an explanation of a phenomenon.

Crosscutting Concepts: Cause and Effect
Cause and effect relationships are routinely identified, tested, and used to explain change.

California Environmental Principles and Concepts:
N/A

California Common Core State Standards Connections:
ELA/Literacy
W4.7: Conduct short research projects that build knowledge through investigation of different aspects of a topic.
W.4.8: Recall relevant information from experiences or gather relevant information from print and digital sources; take notes, paraphrase, and categorize information, and provide a list of sources.

Mathematics
MP.2: Reason abstractly and quantitatively.
MP.4: Model with mathematics. 
MP.5: Use appropriate tools strategically.
4.MD.A.1: Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit. Record measurement equivalents in a two-column table. For example, know that 1 ft is 12 times as long as 1 in.  Express the length of a 4 ft snake as 48 in. Generate a conversion table for feet and inches listing the number pairs (1,12), (2, 24), (3,36),...
4.MD.2: Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale.

DCI Connections:
Connections to other DCIs in fourth grade: N/A

Articulation across grade-levels: 2.ESS1.C; 2.ESS2.A; 5.ESS2.A"
Science (CA NGSS),4-ESS2-2,4,4,4,ESS2.B: Plate Tectonics and Large-Scale System Interactions,CCC-1: Patterns,SEP-4: Analyzing and Interpreting Data,Earth and Space Science,"Title: 4-ESS2 Earth's Systems

Performance Expectation:  Analyze and interpret data from maps to describe patterns of Earth's features.  [Clarification Statement: Maps can include topographic maps of Earth's land and ocean floor, as well as maps of the locations of mountains, continental boundaries, volcanoes, and earthquakes.]

Disciplinary Core Idea(s):
ESS2.B: Plate Tectonics and Large-Scale System Interactions
The locations of mountain ranges, deep ocean trenches, ocean floor structures, earthquakes, and volcanoes occur in patterns. Most earthquakes and volcanoes occur in bands that are often along the boundaries between continents and oceans. Major mountain chains form inside continents or near their edges. Maps can help locate the different land and water features areas of Earth.

Science & Engineering Practices: Analyzing and Interpreting Data
Analyze and interpret data to make sense of phenomena using logical reasoning.

Crosscutting Concepts: Patterns
Patterns can be used as evidence to support an explanation.

California Environmental Principles and Concepts:
N/A

California Common Core State Standards Connections:
ELA/Literacy
RI.4.7: Interpret information presented visually, orally, or quantitatively (e.g., in charts, graphs, diagrams, time lines, animations, or interactive elements on Web pages) and explain how the information contributes to an understanding of the text in which it appears.

Mathematics
4.MD.2: Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale.

DCI Connections:
Connections to other DCIs in fourth grade: N/A

Articulation across grade-levels: 2.ESS2.B; 2.ESS2.C; 5.ESS2.C; MS.ESS1.C; MS.ESS2.A; MS.ESS2.B"
Science (CA NGSS),4-ESS3-1,4,4,4,ESS3.A: Natural Resources,CCC-2: Cause and Effect: Mechanism and Explanation,"SEP-8: Obtaining, Evaluating, and Communicating Information",Earth and Space Science,"Title: 4-ESS3 Earth and Human Activity

Performance Expectation: Obtain and combine information to describe that energy and fuels are derived from natural resources and that their uses affect the environment.  [Clarification Statement: Examples of renewable energy resources could include wind energy, water behind dams, and sunlight; non-renewable energy resources are fossil fuels and fissile materials. Examples of environmental effects could include loss of habitat due to dams, loss of habitat due to surface mining, and air pollution from burning of fossil fuels.]

Disciplinary Core Idea(s):
ESS3.A: Natural Resources 
Energy and fuels that humans use are derived from natural sources, and their use affects the environment in multiple ways. Some resources are renewable over time, and others are not.

Science & Engineering Practices: Obtaining, Evaluating, and Communicating Information
Obtain and combine information from books and other reliable media to explain phenomena.

Crosscutting Concepts: Cause and Effect  
Cause and effect relationships are routinely identified and used to explain change.

Connections to Engineering, Technology, and Applications of Science:

Interdependence of Science, Engineering, and Technology
Knowledge of relevant scientific concepts and research findings is important in engineering.

Influence of Science, Engineering and Technology on Society and the Natural World
Over time, people's needs and wants change, as do their demands for new and improved technologies.

California Environmental Principles and Concepts:
Principle I
The continuation and health of individual human lives and of human communities and societies depend on the health of the natural systems that provide essential goods and ecosystem services.

California Common Core State Standards Connections:
ELA/Literacy
W.4.7: Conduct short research projects that build knowledge through investigation of different aspects of a topic.
W.4.8: Recall relevant information from experiences or gather relevant information from print and digital sources; take notes, paraphrase, and categorize information, and provide a list of sources.
W.4.9.a-b: Draw evidence from literary or informational texts to support analysis, reflection, and research.

Mathematics
MP.2: Reason abstractly and quantitatively. 
MP.4: Model with mathematics.
4.OA.1: Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 × 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.

DCI Connections:
Connections to other DCIs in fourth grade: N/A

Articulation across grade-levels: 5.ESS3.C; MS.PS3.D; MS.ESS2.A; MS.ESS3.A; MS.ESS3.C; MS.ESS3.D"
Science (CA NGSS),4-ESS3-2,4,4,4,"ESS3.B: Natural Hazards, ETS1.B: Developing Possible Solutions",CCC-2: Cause and Effect: Mechanism and Explanation,SEP-6: Constructing Explanations and Designing Solutions,Earth and Space Science,"Title: 4-ESS3 Earth and Human Activity

Performance Expectation: Generate and compare multiple solutions to reduce the impacts of natural Earth processes on humans.*  [Clarification Statement: Examples of solutions could include designing an earthquake resistant building and improving monitoring of volcanic activity.] [Assessment Boundary: Assessment is limited to earthquakes, floods, tsunamis, and volcanic eruptions.]

Disciplinary Core Idea(s):
ESS3.B: Natural Hazards
A variety of hazards result from natural processes (e.g., earthquakes, tsunamis, volcanic eruptions). Humans cannot eliminate the hazards but can take steps to reduce their impacts. (Note: This Disciplinary Core Idea can also be found in 3.WC.) 

ETS1.B: Designing Solutions to Engineering Problems
Testing a solution involves investigating how well it performs under a range of likely conditions. (secondary to 4-ESS3-2)

Science & Engineering Practices: Constructing Explanations and Designing Solutions
Generate and compare multiple solutions to a problem based on how well they meet the criteria and constraints of the design solution.

Crosscutting Concepts: Cause and Effect  
Cause and effect relationships are routinely identified, tested, and used to explain change. 

Connections to Engineering, Technology, and Applications of Science:

Influence of Science, Engineering and Technology on Society and the Natural World
Engineers improve existing technologies or develop new ones to increase their benefits, to decrease known risks, and to meet societal demands.

California Environmental Principles and Concepts:
Principle I
The continuation and health of individual human lives and of human communities and societies depend on the health of the natural systems that provide essential goods and ecosystem services.

California Common Core State Standards Connections:
ELA/Literacy
RI.4.1: Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text. 
RI.4.9: Integrate information from two texts on the same topic in order to write or speak about the subject knowledgeably.

Mathematics 
MP.2: Reason abstractly and quantitatively. 
MP.4: Model with mathematics.
4.OA.1: Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 × 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.

DCI Connections:
Connections to other DCIs in fourth grade: 4.ETS1.C

Articulation across grade-levels: K.ETS1.A; 2.ETS1.B; 2.ETS1.C; MS.ESS2.A; MS.ESS3.B; MS.ETS1.B"
